content,current_date,date,rating,reviewer_name,title,total_rating
"The pack is housed with every accessories...I check the authorization by IMEI number and it's authorized by xiomi mi bd....the delivery is super fast by Daraz...
one thing is that it doesn't have international warranty...",2020/02/25,18 Nov 2019,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
"Authentic and genuine product. Awesome camera, longer battery life and blazing fast phone beyond the value. But it took 4 days to deliver inside Dhaka.",2020/02/25,19 Nov 2019,5,by Tanmoy T.,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
"100% genuine product.
Set is awesome. I am fully satisfied",2020/02/25,1  week ago,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
wow mobile ta dekte onek sundor,2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
Thank you So much for providing original one,2020/02/25,24 Nov 2019,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
Everything is alright..,2020/02/25,02 Dec 2019,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
Full fresh brand new. Good packaging. No complaint on product. but the delivery boy should be professional. He did not take my signature. The proof showing on app is not mine.,2020/02/25,18 Nov 2019,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
"After Waiting 18 Days....Still Not Recived 🤔 But Daraz Show me ""Delivered "" Today 😠 What a same 🤥 What To Do Now?",2020/02/25,03 Dec 2019,1,by Nazrul I.,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
খুব দ্রুত হাতে পেয়েছি কোয়ালিটি প্যাকেজিং কোয়ালিটি খুব ভালো,2020/02/25,26 Nov 2019,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
খুবই অল্প সময়ের ভিতর হাতে পেয়েছি,2020/02/25,30 Nov 2019,5,by Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
good phone,2020/02/25,25 Nov 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
"good one.... delivery first...redmi 8 call recording option nai...miui10....
tnq daraz....",2020/02/25,24 Nov 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera,4.9
Received in good condition. Till now all okay. Official Xiaomi product.,2020/02/25,21 Oct 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
"Fast shipping . Good packaging. Original product. Fully satisfied.

Highly recommended!",2020/02/25,21 Nov 2019,5,by Tanvir A.,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
Thank you so much Daraz. I got this product in 11.11 within 2 days. My mom will love this product❤️ its a gift for her birthday🎊🎉🎁,2020/02/25,18 Nov 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera,4.9
"ami ai mobile ta amar baba ke gift disi .
amar baba ata pay onek happy",2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera,4.9
"Really authentic product also fast delivery... 
full satisfaction",2020/02/25,16 Nov 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera,4.9
very fast delivery... good packing with attractive colour..,2020/02/25,16 Nov 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera,4.9
This is too good 🙂,2020/02/25,07 Dec 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
,2020/02/25,21 Nov 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
100%authentic product.Buy this product without any hesitation.,2020/02/25,15 Dec 2019,5,Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
,2020/02/25,29 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
awesome handset. such a lovely phone .,2020/02/25,23 Nov 2019,5,Fuad H.,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
Thanks Daraz ❤️❤️,2020/02/25,12 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera,4.9
একদম অরজিনাল প্রডাক্ট,2020/02/25,21 Jan 2020,5,Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
budget beast,2020/02/25,4  weeks ago,5,Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
THANKS DARAZ 🐶,2020/02/25,15 Nov 2019,5,Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
,2020/02/25,25 Dec 2019,5,Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera,4.9
,2020/02/25,20 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,19 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
product is very good. ,2020/02/25,19 Nov 2019,5,Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
product was good ,2020/02/25,19 Jan 2020,5,Daraz Customer,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
,2020/02/25,13 Dec 2019,5,Makbul H.,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
,2020/02/25,13 Dec 2019,5,rakibul K.,Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera,4.8
"original product, deliver time just wow",2020/02/25,20 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera,4.9
