content,current_date,date,rating,reviewer_name,title,total_rating
এই দামে খারাপ না। ছোট খাটো কাজ ভালই করা যায়।,2020/02/27,29 Dec 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
"thanks....good service 
",2020/02/27,24 Sep 2018,2,Rasel R.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Not bad but case is broken. ,2020/02/27,01 Oct 2019,3,ASAD S.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Average.. Not satisfactory... Small scrue heads didn’t work well..  Others are fine.. ,2020/02/27,26 Sep 2019,4,Asikur R.,31 In 1 Screw Driver Set - Yellow and Red,4.2
no problem nice product it's too good for low price,2020/02/27,09 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
nice product. also got free delivery ,2020/02/27,07 Oct 2019,4,Mahfuzul H.,31 In 1 Screw Driver Set - Yellow and Red,4.2
অর্ডার দিছি ৫ টার  পাঠাইছে ৪ টা। রিটার্ন দিতে চাইলে তাদের অফিসে গিয়া জমা দিতে হবে। ,2020/02/27,25 Nov 2019,1,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Good at all.  No problem found,2020/02/27,25 Sep 2019,5,Imran H.,31 In 1 Screw Driver Set - Yellow and Red,4.2
খুবই দরকারি জিনিস.... ধন্যবাদ ,2020/02/27,11 Sep 2019,5,Fariza,31 In 1 Screw Driver Set - Yellow and Red,4.2
Good stuff for the price,2020/02/27,16 Nov 2019,5,Bitan D.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Packaging good.. ,2020/02/27,14 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
"quick delivery,  same product and it works...🙂",2020/02/27,14 Sep 2019,5,Aklima S.,31 In 1 Screw Driver Set - Yellow and Red,4.2
"Mal vanga chilo....
bujlam na vi",2020/02/27,22 Aug 2019,3,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
"খুব ভালো প্রোডাক্ট পেয়েছি 31 তারিখ কি রয়েছে কোথাও কোন সমস্যা নেই কোন ভাঙ্গাও নেই
",2020/02/27,04 Sep 2019,5,Hridoy A.,31 In 1 Screw Driver Set - Yellow and Red,4.2
I'm satisfied for product,2020/02/27,16 Sep 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
good product,2020/02/27,21 Sep 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
"আইটেম ভাল ছিল।কিন্তু ঢাকনা ভাংগা ছিল।আরও সর্তকভাবে জনিস পাঠানো দরকার।5★দিতাম কিন্তু ভাংগার কারনে 4★
",2020/02/27,24 Jun 2019,4,Anik S.,31 In 1 Screw Driver Set - Yellow and Red,4.2
"nice product helpful
",2020/02/27,27 Aug 2019,5,Sanaya S.,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,09 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,05 Oct 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,09 Jan 2020,1,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,24 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,29 Sep 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,20 Sep 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,27 Jul 2019,4,NUr A.,31 In 1 Screw Driver Set - Yellow and Red,4.2
 এক প্রোডাক্ট এর মধ্যে সবকিছু পেয়ে গেলাম ভাবতেই পারিনা এত কিছু অপারেটিং করা যায় মাত্র একটি screwদিয়ে থ্যাংকস,2020/02/27,16 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
