content,current_date,date,rating,reviewer_name,title,total_rating
pora josss ami 2 ta kinse 1 ta amar arekta amar fnd ar ar ai earphon diya pubg khalte daron lage and nice dalivary thank you daraz,2020/02/26,2  days ago,5,by Daraz Customer,DM10 In Ear Earphone - Black,4.5
These are the best Earphone in price.sound and all quality are so good.Thanks for giving me  the original product.Packaging and delivery system good.,2020/02/26,21 Dec 2019,5,by Daraz Customer,DM10 In Ear Earphone - Black,4.5
"কিছু বলা লাগবে???
এটো গুলো review প্রমাণ করে যে এটা কেমন... 
আমার মতে এটা অনেক দারুণ।।। 
আর daraz delivery system কে অসংখ্য ধন্যবাদ।।। 
২৪ ঘন্টার মধ্যে এটা পৌছিয়ে দেবার জন্য।।। 😘😘😘",2020/02/26,24 Dec 2019,5,by Kawshik S.,DM10 In Ear Earphone - Black,4.5
"Wonderful product, great packing, and quick shipping....
DM10 is just a beauty...",2020/02/26,11 Dec 2019,5,by Tanvir H.,DM10 In Ear Earphone - Black,4.5
"I'm loving it 
and my friends also love it",2020/02/26,17 Nov 2019,5,by Daraz Customer,DM10 In Ear Earphone - Black,4.5
আমার দেখা বেস্ট ইয়ারফোন। যেমন বিল্ড কোয়ালেটি তেমনি ভালো সাউন্ড কোয়ালেটি। thanks to GADGETS LAB and DARAZ,2020/02/26,27 Oct 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
সবার পজিটিভ রিভিউ দেখে আমি এই ইয়ারফোন টা অর্ডার দিয়েছিলাম কিন্তু আমি মোটেও সন্তুষ্ট না ইয়ারফোনের পারফরম্যান্সে। সাউন্ড টা আমার কাছে তেমন ক্লিয়ার মনে হয়নি এবং বেজ লাভারদের জন্য তো আমি এইটা কখনোই সাজেস্ট করবো না। আমি হতবাক হয়েছি সবাই এটার অনেক পজিটিভ রিভিউ দিয়েছে!!!! নাকি আমার প্রোডাক্টটা ডুবলিকেট হয়েছে আমি বুঝতে পারছি না!!!,2020/02/26,1  day ago,2,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"product fresh & vloi mutamuti, Ey budget a best headphone. gaming er jonno vloy. Free fire a use kori.",2020/02/26,2  days ago,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"চমৎকার একটা ইয়ারফোন। 😍 খুবই প্রিমিয়াম ডিজাইন, স্টাইলিশ ও বটে! ক্লিয়ার সাউন্ড এবং খুব ভালো বেস দেয়। প্রোডাক্টে কোন সমস্যা নেই, সেলার একদম পারফেক্ট প্রডাক্ট দিয়েছে। ধন্যবাদ সেলারকে। 🙂
#বরিশাল(ডেলিভারি 4 দিনে)",2020/02/26,24 Dec 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
Yes. I really feel happy to get QKZ DM-10. Everything good enough(Specially base quality is too good).I recommend this product no dought.Thank u so much.,2020/02/26,15 Nov 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"it's a beast in this (299)  price range. packaging was very good. got the product on due time..
a big clap for the seller and daraz. 👊",2020/02/26,07 Nov 2019,4,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"অবশ্যই খারাপনা। মোবাইলে সবই ঠিক আছে কিন্তু কম্পিউটারে লাগালে Bass Low হয়ে যায়। রাবার বাড গুলো একই রকম হওার সম্ভাবনা ছিল মনেহয়। কারণ আমার পরিচিত একজনের বড় সাইজের দেয়া ছিল কিন্তু আমার গুলোতে তিন পিস কালো সাধারণ বাড, আর হেডপিসে লাগানো মাঝারি ধরনের আসল বাড। সাউন্ড খারাপ লাগেনি। ধন্যবাদ দ্রুত সরবরাহ করার জন্য। ",2020/02/26,06 Sep 2019,3,Md. M.,DM10 In Ear Earphone - Black,4.5
"মাত্র দুদিনের মধ্যে ডেলিভারি দেবার জন্যে অনেক ধন্যবাদ।
এক কথায় দারুণ লেগেছে হেডফোন টার সবকিছু😍",2020/02/26,29 Nov 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"fast delivery, takes only 1 Working day. thanks. recommended.",2020/02/26,02 Aug 2019,5,Subrata P.,DM10 In Ear Earphone - Black,4.5
"ধন্যবাদ দারাজ, ভালো ভাবে  দেওয়ার জন্য।earphone টি অনেক ভালো ছিল।now i trust daraz for shoping... ♥♥♥",2020/02/26,25 Sep 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
pretty good product in this price.amazing sound.and the magnet is also attractive & good. ,2020/02/26,27 Sep 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"This is the  best product for music and pubg lovers...
First I wanted to buy it from normal market but I thought I should buy at least one thing from daraz to see that it's good or bad. It's not good it's the best. The product is genuine. The delivery was beautiful and the one who delivered was nice. Just love daraz and thanks for this product #first time buy from daraz
",2020/02/26,20 Nov 2019,5,Abid R.,DM10 In Ear Earphone - Black,4.5
Price range er bitor onek valo...tobe jara besi bass pochondho koren tader jonno valo akta earphone. ai earphone  er durability onek valo. jara vabchen original Product kina. tara kono chinta na korei nite paren.,2020/02/26,05 Sep 2019,5,Masud R.,DM10 In Ear Earphone - Black,4.5
vul product delivery diyeche. keu order korben na. bebsar name dhandabaji. Daraz apnara aisob seller k bad din naile customers haraben. ami r kichu order korbo na aikhan theke. FALTU,2020/02/26,01 Dec 2019,1,Daraz Customer,DM10 In Ear Earphone - Black,4.5
khuboi valo product ...delivery o khub taratari dise .....ek khothai ai dam e er cheye valo product pawa jabe na .....dhonnobad seller ar daraz team ke ,2020/02/26,14 Oct 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
Product Is Good,2020/02/26,13 Aug 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"It came in a nice box. Good bass and great sound quality at this price point. Build quality is ideal for rough usage, doesn't look or feel cheap at all.",2020/02/26,06 Nov 2019,5,Shahed F.,DM10 In Ear Earphone - Black,4.5
"one word review: EXCELLENT 
⭐⭐⭐⭐⭐
its my first order from Daraz and i am so satisfied
good products enourages to buy more...
special thank to Gadget Lab for this wonderful product within a terse price 
",2020/02/26,12 Oct 2019,5,Lotus R.,DM10 In Ear Earphone - Black,4.5
"This budget product is amazing, i tested some earphone test for critical base and other stuff,trust me it works really well with this budget. Obviously  u should not expect it to perform like 2k+ ear phones in the market, so around this budget range by the best one I got. Thank u. 👍",2020/02/26,3  weeks ago,5,Nibir R.,DM10 In Ear Earphone - Black,4.5
"The packaging was good. The DM10 I bought before was better in my opinion, if I hadn't used roughly, that wouldn't die on me after 8months.
Anyway. The headphone works, the mic works as well. Overall it's okay. Hopefully it won't die on me after 3months. I will give updates later.

Overall I am satisfied with the product. thank you seller.",2020/02/26,03 Dec 2019,4,Farah N.,DM10 In Ear Earphone - Black,4.5
They delivered me wrong product. I orderd qkz dm10 but they delivered me qkz ck1. Daraz and Gaget Lab FALTU....,2020/02/26,20 Nov 2019,1,Daraz Customer,DM10 In Ear Earphone - Black,4.5
i ordered dm10 and i got ck1 instead of dm10. Didn't expected it after seeing so many positive reviews about the seller. Disappointing  ,2020/02/26,16 Nov 2019,2,Daraz Customer,DM10 In Ear Earphone - Black,4.5
It's a good product. I got my product only in 3 days ( outside Dhaka ). Pretty fast delivery. Satisfied :-) With the quality,2020/02/26,15 Nov 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"যারা পাব্জি খেলার জন্য DM10 কেনার কথা ভাবতেছেন, তারা চোখ বুঝে কিনে নিতে পারেন! এক কথা অসাম একটা প্রোডাক্ট😍😘",2020/02/26,06 Nov 2019,5,Salman A.,DM10 In Ear Earphone - Black,4.5
"I think it is the best earphone in this price range...The sound quality is great and it fits perfectly in my ears...also they sent some ear tips
but it took some days for delivery
but really loved the product",2020/02/26,23 Sep 2019,5,Shaikh A.,DM10 In Ear Earphone - Black,4.5
"অরিজিনাল প্রডাক্ট পেয়েছি। সাউন্ড কোয়ালিটি অনেক ভালো। এই দাম হিসেবে। শুধু এটার তার টা একটু লো কোয়ালিটি মনে হলো,কিন্তু তাও অনেক শক্ত। সহজে ছিড়বে না। আর সাউন্ড একদম ক্রিস্পি,ক্লিয়ার ভয়েস শোনা যায়। আমি অনেক খুশি।",2020/02/26,28 Jul 2019,4,Sanve S.,DM10 In Ear Earphone - Black,4.5
just awesome..... 😘😘😘😘,2020/02/26,13 Jan 2020,4,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"পুরাই হেব্বি,,,,  কিন্তু পাব্জির জন্ন বেশি ভাল না 😥😥",2020/02/26,3  weeks ago,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
picture er je product deya ar amake jeta pathano hoise er kono mil nai.....ar sound quality khub baze.....ek kothay bola jay ami hotash hoiso.....DM-10 ORDER KORSI AR PATAISEN CK-1...,2020/02/26,21 Nov 2019,1,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Very Good Earphones . Good Sound quality 
Recommended",2020/02/26,14 Oct 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Original product 😁😁
10/10 😁😁
Delivery:7/10 😒😒",2020/02/26,21 Jan 2020,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
ভাই অর্ডার করেছিলাম DM10 earphone কিন্তুু আমাকে পাঠিয়েছেন ck1earphone যার কোয়ালিটি খুবই খারাপ।,2020/02/26,14 Nov 2019,1,md S.,DM10 In Ear Earphone - Black,4.5
"An Awesome product in this amount, received the Original QKZ DM10, And its a Truly satisfying product from A-Z. 
BUILT QUALITY: It's built quality is excellent! No sharp edges anywhere, perfectly duilted 45° angled jack with a stretch absorber as well as it has a Y split which also have stretch absorbers on its ends. Transparent pipe ear fit mounting cable is very good, and it's call answer/end button is very soft and easy! and magbets are strong enough to suspense it from neck and move easily without any fear of apart. 
SOUND QUALITY: It's sound quality is so damn amazing!  A perfect earphone for a bass lover! Very fine Bass and  sounds are perfectly balanced in two ear pieces. No complaint about sound quality. it's just Terrible
Bad sides: ears starts soring after 2hours, sometimes Vocal sounds become little fade because of heavy bass, you can use equalizer to balance that (in that case volume decrease by very small scale which is negligible) And sound leaks outside in very high vol",2020/02/26,29 Sep 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
product ta orginal deynai..kuno jaygay lekha nai j eta qkz er dm10 headphone..,2020/02/26,14 Sep 2019,2,Nazmul H.,DM10 In Ear Earphone - Black,4.5
ck1 ki beshi hoye geche.5 din por ear phone peye dekhi wrong product. dilam dm10 dilo ck1. dhoka kia tum logone. onek kosto paichi. ,2020/02/26,17 Nov 2019,1,rabby A.,DM10 In Ear Earphone - Black,4.5
"purai joss.........
build quality:10/10
sound quality:10/10
pubg:10/10",2020/02/26,3  weeks ago,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"খুবই ভাল কোয়ালিটি। অর্ডার করার আগে কনফিউজড ছিলাম যে এতো কম দামে হেডফোনটি অরিজিনাল হবে কিনা!!!
কিন্তু হেডফোনটি হাতে পাওয়ার পর দেখলাম যে অরিজিনাল দিয়েছে 😊। 
দোকানের অরিজিনাল  হেডফোন এর সাথে তুলনা করে sound quality te একই রকম feel পেয়েছি। কিন্তু দোকান থেকে কিনতে গেলে ৪০০-৫০০ টাকা দাম পরে।
ধন্যবাদ Daraz এবং Gadgets Lab কে....এতো কম দামে এতো ভালো একটি হেডফোন দেয়ার জন্য।",2020/02/26,28 Oct 2019,5,Towfiq A.,DM10 In Ear Earphone - Black,4.5
awesome earphone at this prize. i am fully satisfied. Thank you daraz,2020/02/26,28 Sep 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Sound quality is very good
Build quality is also good
Overall very happy with this headphone :-) ",2020/02/26,05 Aug 2019,5,Arif K.,DM10 In Ear Earphone - Black,4.5
আশানুরূপ ভাল না । বিশেষ করে যারা ব্যাস পছন্দ করেন তাদের জন্য মোটেও ভাল প্রডাক্ট না। তবে ডেলিভারি ফাস্ট ছিল। এত গুলো রিভিউ দেখে মনে করছিলাম প্রোডাক্ট টা ভাল হবে। কিন্তু না। তেমন আহামরি কিছুই না। এর আগে আলি এক্সপ্রেস থেকে যে DM-10 আনা হইছিলো তার সাথে রাত দিন তফাৎ। দাম পরছিল ৩৫০ টাকা।সময় লাগলেও ভাল মানের প্রোডাক্ট পাওয়া যায়।,2020/02/26,21 Jan 2020,3,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"এককথায় এই দামে অসাধারণ একটা ইয়ারফোন। ডেলিভারিতে কোন দেরি নাই, সঠিক সময়েই পাইছি। একসাথে ২ টা ইয়ারফোন নিলাম। ধন্যবাদ গেজেটস ল্যাবকে অসল পন্য দেয়ার জন্য।",2020/02/26,17 Jan 2020,5,Md. S.,DM10 In Ear Earphone - Black,4.5
"চেয়েছিলাম DM10 আর দিলে CK1  যা চাইলাম তাতো পেলাম না।  খুবই হতাশ হলাম, আপনাদের উচিত প্যাকেটিং করার সময় এই বিষয়গুলো লক্ষ করা।",2020/02/26,22 Dec 2019,1,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"5 mash use korar pory amar ta nosto hoy geche.... 
ai headphone ta  onek skoto (tough) daikha kinsilam, kinti aita j eto tara tari nosto hoy jaby vabi nay....
😭😢😢 
daily use kortam ... 
really disappointed... 
i thought This will last longer..",2020/02/26,21 Dec 2019,2,MD T.,DM10 In Ear Earphone - Black,4.5
"joteshto taratari hat e peyechi product..
vabsilam original hobe na earphone but use kore satisfied 😌",2020/02/26,12 Dec 2019,4,Rahat H.,DM10 In Ear Earphone - Black,4.5
"So far best headphone under 1500. Beautiful bass, brilliant fit to the ear, amazing sound cancellation. True it distorts sound a bit, but it preserves even the subtle guitar works to an amazing level. 

Must, must try.",2020/02/26,29 Nov 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"build quality is super ...👌👌
very durable...♥️
loud and clear sounds...♥️♥️
not recommend for bass lovers..😢
I love bass... that's why 4*",2020/02/26,27 Nov 2019,4,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"I have order QKZ DM10 but they delevered me QKZ CK1. very dissapointed at this kind of service. The delivery was good, timely, thumbs up Daraz for that. The earphone quality is satisfactory, so not taking the hassle to return this time but have to say its not professionalism. ",2020/02/26,15 Nov 2019,2,Hasan M.,DM10 In Ear Earphone - Black,4.5
অর্ডার করার ৩০ ঘন্টার মধ্যে পেয়েছি । এই দামের মধ্যে অনেক সুন্দর একটা হেডফোন অসাধারণ সাউন্ড কোয়ালিটি ।,2020/02/26,12 Nov 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"ধন্যবাদ দারাজ এবং সংশ্লিষ্ট সবাইকে, অর্জিনাল এবং ভাল কোয়ালিটির পন্য হাতে তুলে দেওয়ার জন্য। And this shop is such a trusted shop for online shopping. Thank you",2020/02/26,30 Oct 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"অসাধারণ 😍 সেই রকম উরা ধুরা মিউজিক 😎 
মেটাল সাথে ম্যাগনেট 😁
কম দামের মধ্যে সেরা ইয়ার ফোন Original QKZ DM 10 ❤",2020/02/26,18 Oct 2019,5,Mohosin M.,DM10 In Ear Earphone - Black,4.5
"এই মাত্র পেলাম। তবে একটু সমস্যা পেলাম। বাম সাইটে সাউন্ট কম হয়, ডান সাইটের চেয়ে। এতে সাউন্ড এক পাশে কম আর এক পাশে বেশী শোনা যায়।",2020/02/26,08 Oct 2019,3,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Excellent product,within this price range it is undoubtly the best earphone you tt buy.Superfast delivery,got the product within 24 hours,thumbs up for the seller. :)",2020/02/26,12 Sep 2019,5,Younus K.,DM10 In Ear Earphone - Black,4.5
"the product is so accurate as discretion . thanks to the seller .I'm so happy with the product .. highly recommend. came in 2 days . 
",2020/02/26,10 Sep 2019,5,Anatte R.,DM10 In Ear Earphone - Black,4.5
"The Jack is loose, it disconnects from phone very easily. It's very annoying. Otherwise Headphone is good for it's price.",2020/02/26,07 Sep 2019,5,Ricky R.,DM10 In Ear Earphone - Black,4.5
Nice producet. The build quality and the sound isolation is pretty good. But this earphone slightly lack in bass. I would have given it 5 stars if the bass was a little bit more punchy. But overall it'll be enough for most of the people. ,2020/02/26,27 Aug 2019,4,Nafis K.,DM10 In Ear Earphone - Black,4.5
Best Product... Love u Daraz ♥️🌹,2020/02/26,4  weeks ago,3,Minhaz A.,DM10 In Ear Earphone - Black,4.5
"Ordered dm10, even on the packet it is written dm10. But inside it is ck1. Totally disappointed. ",2020/02/26,16 Nov 2019,1,Kaoser M.,DM10 In Ear Earphone - Black,4.5
This product is good . the sound quality is also decent . but it's bass didn't matched my expectations . bass is normal ,2020/02/26,01 Jul 2019,4,Arnob S.,DM10 In Ear Earphone - Black,4.5
বিট ভালো! প্রোডাক্ট বিল্ড কোয়ালিটি ও ভালো।। অভারল রেকোমেন্ডেড❤,2020/02/26,10 Nov 2019,4,Respect T.,DM10 In Ear Earphone - Black,4.5
"I'm satisfied with this product! 
Thanks Gadget Lab & Daraz .",2020/02/26,16 Jan 2020,4,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"According to price range, i am very happy with it. recorded ☺",2020/02/26,11 Oct 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Expected formal packaging but came like this. However, the product is satisfactory. Thank you.",2020/02/26,21 Dec 2019,4,Dipta D.,DM10 In Ear Earphone - Black,4.5
"Joss একটা জিনিস দারাজ থেকে এই প্রথম একটা পন্য মনের মত হইলো।
হেডফোন টা Joss চাইলে কিনতে পারেন ",2020/02/26,3  weeks ago,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Product is amazing. Shipping was also quite fast as I am from outside Dhaka. Earphone quality Xoss! Bass osthir. Truly satisfied. 😊

",2020/02/26,19 Sep 2019,5,Tawhidur R.,DM10 In Ear Earphone - Black,4.5
Delivered on time. And the product quality was very good.,2020/02/26,05 Jan 2020,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"সার্ভিস ভালো লেগেছে, কিন্তু প্রোডাক্টের বিল্ড কোয়ালিটি যেমনটা মনে হয়েছে তেমন না। মোটামোটি ",2020/02/26,13 Jan 2020,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
I'm very much delighted to have this product! Thanks Daraz and Gadget Lab also for this genuine product! I'm fully satisfied with this one! Again thanks!,2020/02/26,16 Sep 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
price er tulonay onnnkk valo ekta product.. tnq daraz❤❤,2020/02/26,9  hours ago,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
