content,current_date,date,rating,reviewer_name,title,total_rating
pora josss ami 2 ta kinse 1 ta amar arekta amar fnd ar ar ai earphon diya pubg khalte daron lage and nice dalivary thank you daraz,2020/02/27,2  days ago,5,by Daraz Customer,DM10 In Ear Earphone - Black,4.5
These are the best Earphone in price.sound and all quality are so good.Thanks for giving me  the original product.Packaging and delivery system good.,2020/02/27,21 Dec 2019,5,by Daraz Customer,DM10 In Ear Earphone - Black,4.5
"কিছু বলা লাগবে???
এটো গুলো review প্রমাণ করে যে এটা কেমন... 
আমার মতে এটা অনেক দারুণ।।। 
আর daraz delivery system কে অসংখ্য ধন্যবাদ।।। 
২৪ ঘন্টার মধ্যে এটা পৌছিয়ে দেবার জন্য।।। 😘😘😘",2020/02/27,24 Dec 2019,5,by Kawshik S.,DM10 In Ear Earphone - Black,4.5
"Wonderful product, great packing, and quick shipping....
DM10 is just a beauty...",2020/02/27,11 Dec 2019,5,by Tanvir H.,DM10 In Ear Earphone - Black,4.5
"I'm loving it 
and my friends also love it",2020/02/27,17 Nov 2019,5,by Daraz Customer,DM10 In Ear Earphone - Black,4.5
Product Is Good,2020/02/27,13 Aug 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"It came in a nice box. Good bass and great sound quality at this price point. Build quality is ideal for rough usage, doesn't look or feel cheap at all.",2020/02/27,06 Nov 2019,5,Shahed F.,DM10 In Ear Earphone - Black,4.5
"one word review: EXCELLENT 
⭐⭐⭐⭐⭐
its my first order from Daraz and i am so satisfied
good products enourages to buy more...
special thank to Gadget Lab for this wonderful product within a terse price 
",2020/02/27,12 Oct 2019,5,Lotus R.,DM10 In Ear Earphone - Black,4.5
"This budget product is amazing, i tested some earphone test for critical base and other stuff,trust me it works really well with this budget. Obviously  u should not expect it to perform like 2k+ ear phones in the market, so around this budget range by the best one I got. Thank u. 👍",2020/02/27,3  weeks ago,5,Nibir R.,DM10 In Ear Earphone - Black,4.5
"The packaging was good. The DM10 I bought before was better in my opinion, if I hadn't used roughly, that wouldn't die on me after 8months.
Anyway. The headphone works, the mic works as well. Overall it's okay. Hopefully it won't die on me after 3months. I will give updates later.

Overall I am satisfied with the product. thank you seller.",2020/02/27,03 Dec 2019,4,Farah N.,DM10 In Ear Earphone - Black,4.5
They delivered me wrong product. I orderd qkz dm10 but they delivered me qkz ck1. Daraz and Gaget Lab FALTU....,2020/02/27,20 Nov 2019,1,Daraz Customer,DM10 In Ear Earphone - Black,4.5
i ordered dm10 and i got ck1 instead of dm10. Didn't expected it after seeing so many positive reviews about the seller. Disappointing  ,2020/02/27,16 Nov 2019,2,Daraz Customer,DM10 In Ear Earphone - Black,4.5
It's a good product. I got my product only in 3 days ( outside Dhaka ). Pretty fast delivery. Satisfied :-) With the quality,2020/02/27,15 Nov 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"যারা পাব্জি খেলার জন্য DM10 কেনার কথা ভাবতেছেন, তারা চোখ বুঝে কিনে নিতে পারেন! এক কথা অসাম একটা প্রোডাক্ট😍😘",2020/02/27,06 Nov 2019,5,Salman A.,DM10 In Ear Earphone - Black,4.5
"I think it is the best earphone in this price range...The sound quality is great and it fits perfectly in my ears...also they sent some ear tips
but it took some days for delivery
but really loved the product",2020/02/27,23 Sep 2019,5,Shaikh A.,DM10 In Ear Earphone - Black,4.5
"অরিজিনাল প্রডাক্ট পেয়েছি। সাউন্ড কোয়ালিটি অনেক ভালো। এই দাম হিসেবে। শুধু এটার তার টা একটু লো কোয়ালিটি মনে হলো,কিন্তু তাও অনেক শক্ত। সহজে ছিড়বে না। আর সাউন্ড একদম ক্রিস্পি,ক্লিয়ার ভয়েস শোনা যায়। আমি অনেক খুশি।",2020/02/27,28 Jul 2019,4,Sanve S.,DM10 In Ear Earphone - Black,4.5
just awesome..... 😘😘😘😘,2020/02/27,13 Jan 2020,4,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"পুরাই হেব্বি,,,,  কিন্তু পাব্জির জন্ন বেশি ভাল না 😥😥",2020/02/27,3  weeks ago,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
picture er je product deya ar amake jeta pathano hoise er kono mil nai.....ar sound quality khub baze.....ek kothay bola jay ami hotash hoiso.....DM-10 ORDER KORSI AR PATAISEN CK-1...,2020/02/27,21 Nov 2019,1,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Very Good Earphones . Good Sound quality 
Recommended",2020/02/27,14 Oct 2019,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
"Original product 😁😁
10/10 😁😁
Delivery:7/10 😒😒",2020/02/27,21 Jan 2020,5,Daraz Customer,DM10 In Ear Earphone - Black,4.5
ভাই অর্ডার করেছিলাম DM10 earphone কিন্তুু আমাকে পাঠিয়েছেন ck1earphone যার কোয়ালিটি খুবই খারাপ।,2020/02/27,14 Nov 2019,1,md S.,DM10 In Ear Earphone - Black,4.5
