content,current_date,date,rating,reviewer_name,title,total_rating
"অর্ডার করেছিলাম 4 ফেব্রুয়ারি (দুটি ভিন্ন মডেলের earphones 2x2=4pc) দিনাজপুর থেকে,, বিক্রেতা Deliver করেছে 20 ফেব্রুয়ারি (একই মডেলের earphones) যা 13 ই ফেব্রুয়ারি ডেলিভার করার কথা ছিল। যেখানে দেশের সব অনলাইন শপিং দিনাজপুরে তিন দিনে প্রোডাক্ট ডেলিভারি করে থাকে সেখানে daraz.com 16 দিনে তা সম্পন্ন করেছে। মনে হচ্ছিল AliExpress.com থেকে প্রোডাক্ট বাংলাদেশে আনলাম।",2020/02/27,1  day ago,5,by Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
হাতে পেয়েছি বেশ কয়েকদিন হলো। যে দামে পেয়েছি সেই দামে এইটাকে ওয়ান অব দ্য বেস্ট বলবো। বিশেষ করে ভালো লেগেছে রিম্যাক্স মতো অনেকটা ব্যালান্সড সাউন্ড। আবার মনে হচ্ছে রিম্যাক্স থেকে যথেষ্ট টেকশই। দেখা যাক কতোদিন টেকে।,2020/02/27,23 Dec 2019,5,by Ifsad S.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"Daraz theke amar first shopping amd a good experience...3diner vitor product pelam r Quality best😍
Sound 😘",2020/02/27,17 Oct 2019,5,by Rony M.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
It's really great earphone.That's why it called bass king.I'm really satisfied.I recommend all to buy this.,2020/02/27,23 Jan 2020,5,by Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"Real product peye ami khushi
Sound quality valo 
Kintu ear piece er place ta metal houai its heavy 
so jara sharadin use koren tara kinben naa cz comfortable er ekta bepar ase nahole overall I am happy with this product",2020/02/27,12 Nov 2019,5,by Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Authentic product. Packaging was good and delivered in time.,2020/02/27,11 Nov 2019,4,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"It's really amazing base quality. Thank you so much
",2020/02/27,05 Jan 2020,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
Good Products ,2020/02/27,20 Sep 2019,5,Kausar A.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Best One.. ,2020/02/27,22 Oct 2019,5,Mohammad A.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Totally satisfied. Bass motamoti. Vocal besi,2020/02/27,20 Sep 2019,4,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
aj hatey pelam.. valo silo... thank you 🙂,2020/02/27,07 Jan 2020,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
Khob e valo ekta Headphones. Recommend 😎,2020/02/27,15 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
the product is awesome...khub vlo bass qualtiy ..overall khub vlo ,2020/02/27,16 Jul 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"দ্বিতীয় বার নিলাম।।।
দারুন লাগসে।।।
দুই বারই original পাইসি।।।
",2020/02/27,26 Sep 2019,5,Kawshik S.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Good 👍👍🌿🐒,2020/02/27,4  weeks ago,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"I am totally disappointed with this product. The seller mentioned it as genuine product, but in real it's just a replica. Moreover , in original qkz headphone there's a qkz logo on wire divider area as they showed on their advertising pic. Waste of money upon believing on the seller.",2020/02/27,31 Aug 2019,1,Abdur R.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
The product is just amazing..There is no complain for sound quality.Overall it is best at this price level..,2020/02/27,30 Oct 2019,4,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"সব মিলিয়ে product টি  খুবেই ভালো, sound quality and build quality was greatly satisfying. ",2020/02/27,23 Sep 2019,4,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
,2020/02/27,3  weeks ago,2,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"লো কোয়ালিটি, ভোকাল খুব বাজেভাবে কানে লাগে। ক্যাবল ডিভাইডারে QKZ লেখা নেই, যা প্রমান করে এটা কপি প্রোডাক্ট। আর সাউন্ড একেবারেই বাজে।",2020/02/27,07 Aug 2019,2,Ashif I.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Build quality is too good and the sound quality is satisfied. GooD product and recommend 😊,2020/02/27,16 Jul 2019,5,Maruf M.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"আবুল হাইয়াত এর একটা এড দেখছিলাম,বলে জিনিস যেটা ভালো দাম তার একটু বেশিই।আর তাই এই দামের ভিতর এটা ভালো ছিলো।আর এই দোকান টাও অনেক বিশ্বস্ত। কিন্তূ প্যাকেজ টা একদম বাজে😒
ওভার ওল এটা আসলেই বেজ কিং ইয়ার ফোন।
ভালো পণ্য পেয়েছি।
",2020/02/27,18 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
,2020/02/27,25 Nov 2019,2,Oli M.,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
verry bad,2020/02/27,2  days ago,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"2 নাম্বার মাল দিছে
 
বেজ কিং মাগার বেজ e নাই 😠😠😠
400 টাকা পুরাই ধরা 
এর থেকে রিমেক্স ৫১২ অনেক ভালো,দাম ও কম মাত্র ২০০৳",2020/02/27,02 Sep 2019,1,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
,2020/02/27,1  day ago,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
,2020/02/27,3  weeks ago,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
,2020/02/27,24 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
,2020/02/27,23 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
The quality of the product was good. Got the real product. Packaging quality was also in well condition. Got the same product that I ordered. ,2020/02/27,12 Dec 2019,5,Shaheen A.,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
Ei product order diyesi kintu batper shalara DM 10 2 ta pathaia dilo DM 7 dilo e na. Ulta price rakhlo DM7 er.,2020/02/27,25 Jan 2020,1,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
first a ami 5 star disilam koyekdin agei niyechi ajke theke amar mic kaj krtese na thats why i cant trust daraz because of some sick piece of shit,2020/02/27,07 Jan 2020,1,Samar A.,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"Amazing earphone, truly a bass king . Excellent sound quality. Product is 💯%orginal. Packaging was very good. Thanks to gadgets lab.",2020/02/27,01 Jan 2020,5,Abdullah I.,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"Looking Awesome & Great Durability. কিন্তু EarBuds গুলো একটু ভারী তাই কানে বেশিক্ষণ রাখা যায় না। সাউন্ড ভাল তবে যা আশা করেছিলাম তা পাইনি। আমি আগে Mi Piston Basic ব্যবহার করতাম। DM7 এর সাউন্ড/বেজ Mi এর মত নয়। তাই আমি একটু আশাহত। সাউন্ড+বেজ এর ক্ষেত্রে আমি Mi Piston Basic Recommend করব তবে Looks & Durability এর দিকে আমি DM7 Recommend করব।

",2020/02/27,10 Dec 2019,5,Shad R.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"আমি মোটামুটি dm3 dm 7 dm9 dm10 কিনছি দারাজ থেকে। সব গুলাই ভাল পাইছি। যাদের কিনে দিছি কেও বলে নাই জিনিশ খারাপ হইছে। অনেকেই বলে অন লাইন এর মাল মানেই খারাপ
 আসলে দেখে বুঝে কিনলে ধরা খাওয়ার চান্স নাই।",2020/02/27,01 Oct 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"Considering price it's a piece of charm. But I don't know why after using 2-3 straight  months one earpiece stops working. 🤧

Really need a way to get it repaired      ",2020/02/27,25 Sep 2019,4,Rudra S.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Earphone kane diye video ba music on korle sathe sathe background a akta automatically noise hote thake ja age amar use kora DM7 e Hoto na might be i got the defective one but product was original 👎👎,2020/02/27,15 Sep 2019,2,Raaz K.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Treble is good but Bess is not the best. Crisp natural sound but If you are a Bess lover then this is not for you.,2020/02/27,07 Aug 2019,5,Rahat A.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
শুনছি dm7 এর bass কোয়ালিটি ভালো এজন্য এটা নিলাম কিন্তু আমার মনে হচ্ছে যে vocal ই বেশি এবং কেমন যেন সাউন্ড এর মধ্যে একটা টনটন শব্দ এখন আমার প্রোডাক্টটা কি খারাপ পরলো নাকি dm7 এরকম আমি বুঝতেছি না :(,2020/02/27,05 Aug 2019,1,Nafij,DM7 Zinc Alloy In Ear Earphone - Black,4.5
This is the best product at this price. I love to try different earsets. I bet this will beat any 1500+ priced earphone. Extremely delighted with the product. ,2020/02/27,25 Jul 2019,5,Bahar H.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"It's a good product. It has enough bass and loudness.It looks alright, overall it's worth the price",2020/02/27,14 Nov 2019,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
agher ta original chilo...next time jokhon friend er jonno ekta order krlm tkhn copy ta diye dilo,2020/02/27,18 Sep 2019,2,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
মাত্র ২ দিনের মধ্যে প্রোডাক্টটি হাতে পেলাম। কোয়ালিটি সম্পন্ন প্রোডাক্ট। ধন্যবাদ দারাজকে।,2020/02/27,06 Jan 2020,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
orginal product pai ni.. sound quality actual dm7 er moto na.. fed up on daraz..😪😪,2020/02/27,04 Dec 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Product seems original. But sound quality was not up to mark. Overall ok with price.,2020/02/27,15 Nov 2019,3,Asaduzzaman,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"Cant blame anyone. Stupid choice,Stupid product...

Onk positive feedback dekhe vabsilam valo hobe. kintu ei mf*** ra je jibone headphone use kore nai.. jantam na.",2020/02/27,09 Aug 2019,1,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"good.amar kase tike nai. ek kaner ta nostooo hoiaa gese sad life..but original. 
",2020/02/27,21 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Onk valo akta headphone.Sound quality osthir.Ami 2 ber kinesi ai headphone ta.,2020/02/27,11 Dec 2019,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"অসাধারন একটা ইয়ারফোন, তবে ওজন বেশি হওয়ায় কানে ব্যাথা অনুভব হয়, তাছাড়া চমৎকার ",2020/02/27,22 Nov 2019,5,KH S.,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
17 din use korlam valo mote...18 tomo din e right side er earpiece nosto😤😤,2020/02/27,02 Sep 2019,5,Monshat H.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
amazing sound quality. metal earpieces. received in just 2 days. very much satisfied. seller recommended,2020/02/27,19 Feb 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"Thanks for delivered the original product. ❤
Sound quality was awesome☺☺",2020/02/27,10 Sep 2019,5,mister G.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"Caution! It really looks like the original dm7. but alas! It's a REPLICA! The original Branding QKZ logo is missing from the product! Come On man. It can hardly be found!
But if the originality doesn't matter to you, then you can go ahead. It's your choice!",2020/02/27,06 Aug 2019,1,Sadikur R.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
The earphone is good. But sound quality is not enough for this price. ,2020/02/27,05 Sep 2019,4,Nawab K.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"অস্থির একটা জিনিস আমি দামী হেডফোন কেনার চে এইটা কিনতে উপদেশ দিবো 
",2020/02/27,15 Jan 2020,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
sound quality is good. hope it will be durable at least 6 months. ,2020/02/27,22 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
vlo product akdom orginal.but daraz er delivery khubi slow. xd,2020/02/27,13 Mar 2019,4,Saikat S.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
I got the real product. Great sounds quality in this price.,2020/02/27,16 Jan 2020,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
Best headphone within this price range. Ordered 2 of these.,2020/02/27,01 Sep 2019,5,Irfanul K.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Don't have enough bass. But good enough. 5 star from me 🙂 ,2020/02/27,20 Aug 2019,5,Shariful I.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
product is good.....i am satisfied for this product.....☺☺☺,2020/02/27,31 Jul 2019,5,Shah M.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"fast delivery and quality product... everything was ok 
",2020/02/27,05 Nov 2019,5,DipanJan K.,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
100% authentic. super fast shipping. seller recommended.,2020/02/27,09 Aug 2019,5,Arpan D.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"OOOOSTHIRR, BASS baade shob shunna jae, good earphones
",2020/02/27,27 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
সাউন্ড কোয়লিটি এবং বিল্ড কোয়ালিটি অনেক ভালো।তবে কালার বেশ কয়েকদিন পরে ডিসকালার হয়ে যায়। প্রোডাক্ট অর্জিনাল মনে হয়েছে।,2020/02/27,10 Jul 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
very good product but i have lost it after 25 days 🙄,2020/02/27,2  weeks ago,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
motamuti valo.base tamon valo na.tar por o nite paren,2020/02/27,30 Nov 2019,3,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"Very good,  sound 10/10
Base 10/10

Clear voice 10/10",2020/02/27,14 Sep 2019,5,Shahariar S.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"good, bt not so much  as I expected......  its ok  👍",2020/02/27,11 Aug 2019,5,joy K.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
this product 100%orignal .and sound quality 10/10...,2020/02/27,20 Aug 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
100% Authentic product.You can buy it if u want to..,2020/02/27,19 Mar 2019,4,Ak A.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Nice one! great sound and better sound enhancement ,2020/02/27,21 Aug 2019,5,arnab R.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Original product and fast delivery. Within 2 day's,2020/02/27,07 Aug 2019,5,Mark X.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
"আগে একটা নিয়েছিলাম,কিন্ত এটা আগের টার মত ভালো না",2020/02/27,02 Jul 2019,2,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
very good 👂 phone 👍👍👍👌👌👌 in this price.. ,2020/02/27,12 Nov 2019,5,Sahol S.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
delivery and packaging was good...satisfied!🙂,2020/02/27,17 Jan 2020,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"Authentic product, recommended for base lover!",2020/02/27,11 Dec 2019,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
"ear phone ta valo chilo.....
verified product",2020/02/27,23 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
got it awsome product quality is just awsome.,2020/02/27,06 Aug 2019,5,Mahadi H.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
অনেক ভালো প্রডাক্ট দেবার জন্য      ধন্যবাদ ,2020/02/27,10 Sep 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
expectations ank chilo but didn't matchup ,2020/02/27,13 Sep 2019,5,Shahed K.,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Best one at this rate. This my second one,2020/02/27,13 Nov 2019,5,Daraz Customer,DM7 Zinc Alloy In Ear Earphone - Black,4.5
Best in durability in this price.😊😃👍,2020/02/27,24 Jan 2020,5,Arittro G.,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
product price and  quality is great... ,2020/02/27,14 Jan 2020,5,Daraz Customer,DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black,4.5
