content,current_date,date,rating,reviewer_name,title,total_rating
"Fully satisfied.... recommended ❤️❤️❤️
Thanks  metrolighting...",2020/02/27,19 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
its really useful lights,2020/02/27,30 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
Very good product at this price thanks. Looking for buy more ,2020/02/27,23 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"it's really good & I like it too much 
thanks for giving me a good product ",2020/02/27,6  days ago,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,10 Dec 2018,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
satisfied 😍,2020/02/27,28 Nov 2018,5,shomi,Fairy Decorative Lights - Yellow,4.7
product quality is good but the lights brightness isn't brighten as expected....,2020/02/27,13 Nov 2018,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,14 Oct 2018,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
Lights gula oshadharon....Onk sundr....Vallagse onk....,2020/02/27,20 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"undoubtedly, a very beautiful product it is!🥰 
",2020/02/27,03 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
really a good product! but i ordered two pieces and unfortunately one was defected...  hope next time they check it before delivering otherwise the one which is Working is very good❤ the delivery was done on time as well!,2020/02/27,17 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"Delivery within 4 days! and the product was so good but sometimes it doesn't working but I'm satisfied... thanks for sending good product 😊 Quality is so good,, I just loved it 😍 Next time I will order red and blue ❤️💙",2020/02/27,27 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
Thanks a lot seller. This product is amazing. I received in time and with good packaging. This was a great deal. The product is exactly as I was told. Very nice. Looking forward to buy again from this seller. Positive experience. Highly recommended!,2020/02/27,20 Oct 2019,5,Hassanur R.,Fairy Decorative Lights - Yellow,4.7
"Product is too good. Durable according to price. Have many styles like: all time lighting, blinking lighting, automatic bright to low light etc. Overall product is awesome. ",2020/02/27,12 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
product is good. It's perfectly same as the advertisements. Delivery was very fast. Really satisfied with the service process.,2020/02/27,18 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
thank you khub sundor😍😍😍😍😍😍😘,2020/02/27,23 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"খুব পছন্দ হয়েছে আলহামদুলিল্লাহ । আরো দুইটা নেয়ার সিদ্ধান্ত নিলাম 😃
রাতে আরো বেশি সুন্দর লাগে!",2020/02/27,30 Dec 2019,5,Mehrun N.,Fairy Decorative Lights - Yellow,4.7
just woww i love it.... 😘,2020/02/27,15 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
i Don't have any idea about price but when i use to switch it’s enough to change mood 😇,2020/02/27,15 Sep 2019,5,Rabeya K.,Fairy Decorative Lights - Yellow,4.7
প্রডাক্ট টা ভালই।  যেমন টা চেয়েছি ঠিক ওই রকম পেয়েছি।  ,2020/02/27,03 Dec 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"khubi valo ja dhakhachi Tai chlo product
and thank you .....😊😊☺️☺️☺️😘",2020/02/27,06 Dec 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
wow this is so beautiful.. just love it..... quality o vlo... thanks... ,2020/02/27,16 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
It's lovely! Can't expect anything better at this price.,2020/02/27,02 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
i love this fairy lights.. 😍😍,2020/02/27,09 Jan 2020,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"Light ta Onk Amazing..,😍",2020/02/27,26 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
thank u so much daraz for give me a nice and good product,2020/02/27,30 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
Just Recieved this product and i am very much satisfied.,2020/02/27,23 Oct 2019,5,Mahmudul A.,Fairy Decorative Lights - Yellow,4.7
You can buy it! ☆☆☆☆☆ ,2020/02/27,25 Oct 2019,5,Monnaf H.,Fairy Decorative Lights - Yellow,4.7
Light ta onk josssss😍,2020/02/27,26 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
very satisfied. 😍😍,2020/02/27,06 Dec 2019,5,Fahmida I.,Fairy Decorative Lights - Yellow,4.7
১০০% ভালো ছিলো। রিকমেন্ড করার মতো।,2020/02/27,25 Aug 2019,5,Kawshik,Fairy Decorative Lights - Yellow,4.7
অনেক ভালো প্রোডাক্ট। Recommended থাকবে সবার জন্য।,2020/02/27,13 Sep 2019,5,Saad A.,Fairy Decorative Lights - Yellow,4.7
"This product is so good😍😍
take love daraz❤❤",2020/02/27,07 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
it's really so nice😙❤😚😍😍🙊🙈,2020/02/27,20 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
Ek kothay Osadharon 🥰🥰,2020/02/27,23 Dec 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
loved it 😍💛💛,2020/02/27,08 Aug 2019,5,Sarfraz M.,Fairy Decorative Lights - Yellow,4.7
Wow its amazing one,2020/02/27,15 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
very much good ,2020/02/27,24 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
it's satisfying ,2020/02/27,24 Aug 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
its so cool😌,2020/02/27,20 Dec 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
It's awesome,2020/02/27,27 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
it’s good ☺☺,2020/02/27,17 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"I’m very satisfied with the product.
Delivery time beshi laglew product qualityr jonno seta considerable..price hisebe jinish valo and suggested thklo..",2020/02/27,04 Sep 2019,5,Shipon K.,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,13 Sep 2019,5,Rifah S.,Fairy Decorative Lights - Yellow,4.7
just wow😍,2020/02/27,13 Nov 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
Joss💗,2020/02/27,24 Aug 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,14 Oct 2019,5,Ahad K.,Fairy Decorative Lights - Yellow,4.7
Perfect👍,2020/02/27,24 Jan 2020,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
awesome,2020/02/27,29 Dec 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,19 Dec 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,16 Dec 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,16 Nov 2019,2,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,31 Oct 2019,4,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,09 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,29 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,08 Sep 2019,5,Shongita Y.,Fairy Decorative Lights - Yellow,4.7
"Perfect, according to price.",2020/02/27,18 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
,2020/02/27,24 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
I had a overall present experience. the light had a odd odor and the light get heated after 5-10mins. ,2020/02/27,16 Nov 2019,4,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
সালাম....আপনার প্রোডাক্ট তা ভালো লাগলো...যা চেয়ে চি তাই পেয়ে চি...আল্লাহ তালা আপনাকে উত্তম প্রতিদান দিক...Ameen جزاك اللهُ خيرًا,2020/02/27,23 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
Product ta khub khub khub e valo...ami khub khoshi product ta peye...bt aktai mistake...amk golden color er bodole white ta deowa hoyeche,2020/02/27,09 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"It’s really nice and cool.... love this lights 
And really reasonable price and super fast shipping thank you:) ",2020/02/27,04 Oct 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"খুব সুন্দর ছিলো।  আমি এর সাথে আরও একটা ড্রিম লাইট সকেট   সিস্টেম কিনছিলাম, কিন্তু সেটা নষ্ট!!  দারাজ গ্রুপের সদস্যদের আরও একটু কেয়ারফুল হওয়া উচিত।",2020/02/27,16 Sep 2019,5,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
"received quicker than expected. but disappointed at the product. some of the lights are defected and turn on. yes I tried all the modes. also the wiring totally bad. it turned extremely hot just after 5 minutes and I could smell the wires burning. keep this away from children to save them. they are beautiful but dangerous. use with caution if you must.

update: the switch stopped working. totally shit product.",2020/02/27,04 Sep 2019,1,মশিউর র.,Fairy Decorative Lights - Yellow,4.7
Good quality fairy light. Recommended. ,2020/02/27,10 Dec 2018,5,Shammo A.,Fairy Decorative Lights - Yellow,4.7
খুবই সুন্দর প্রোডাক্ট। এত কম দামে এত ভালো জিনিস ভালো আশাও করি নাই। পয়সা উশুল প্রোডাক্ট... ,2020/02/27,18 Sep 2019,5,Ehsan N.,Fairy Decorative Lights - Yellow,4.7
"কাস্টমারকে দেয়ার আগে আপনাদের চেক করা উচিত।অর্ধেক আলো জ্বলে না।এমন প্রতারণা বন্ধ করুন।
",2020/02/27,09 Oct 2019,1,Daraz Customer,Fairy Decorative Lights - Yellow,4.7
