content,current_date,date,rating,reviewer_name,title,total_rating
"Thumbs up to the seller for sending me a quality product.  The seller nicely wrapped the package and included everything for the RGB Strip Light including adapter, remote, light control device and RGB Strip nicely rolled. I was skeptical at first when seeing the price of the product but when I got it in my hands, it was really an awesome experience, perfect for room decorations and generating ambient light. I would like to thank Power Motors and Daraz for sending me a nice product on time at this price range. ",2020/02/27,03 Dec 2019,5,Mirza K.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"The product was outstanding.really satisfactory.muat recommended.product was as it was showed on the ads.exact 15 feet.
overall good experience.",2020/02/27,18 Nov 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
 Nicely packed & Quickly is good and you can trust this seller. Just 1 thing late delivery from Daraz,2020/02/27,30 Dec 2019,5,Nigar S.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"Best Ever Product with in this price
Good bright Power with colourfull RGB
",2020/02/27,17 Nov 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"Packaging was very good and satisfied with the performance also.... But remote and light cable are attached, should be used a connector... Overall is good with this price. ",2020/02/27,06 Jan 2020,5,Shahadat H.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"রুম বা শোরুম যে কোন কিছু ডেকুরেশনের জন্য খুব ভাল একটা জিনিস। লাইটের সংযোগে লুজ সংযোগ থাকার কারনে ২/১মিনিট পরপর সংযোগ বিচ্ছিন্ন হয়ে যাচ্ছিল। রিফান্ডের জন্য আবেদন করার ৩দিনের মধ্যে টাকা রিফান্ড পেয়েছি।
সেলার রেটিং ৫/৫
ডেলেভারি ৫/৫
রিফান্ড স্পিড ৫/৫
পন্য ২/৫ (যদিও লুজ সংযোগের কারনে)",2020/02/27,19 Nov 2019,3,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
 Product  quality is awesome.. I am impressed when I setup my room this light... Because  is so awesome...,2020/02/27,19 Jan 2020,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
kom damer moddey baloy.brightnes thik ase.over all sob kicho balo.,2020/02/27,17 Oct 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"Good Looking, LED Low Brightness ↙
Colour Quality Nice",2020/02/27,25 Sep 2019,4,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Productta valo. 7din dhore use korteci. Adaptar valo e cilo. Exes hit hoyna. Tobe strip er athata akebare e valo na.,2020/02/27,5  days ago,4,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"good product, everything works but sometimes the remote doesn't response to the command unless you unplug and replug the light again.",2020/02/27,25 Dec 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"ডেলিভারি যথারীতি দ্রুত পেয়েছি কিন্তু দুঃখজনক বিষয় হচ্ছে স্ট্রেপের গ্লুটা এতোটা ভাল না লাগানোর আগেই কিছু অংশ খুলে যায় তবুও সব লাইট ঠিক থাকার কারণে এবং যত্ন সহকারে প্যাকেজিংয়ের জন্য ৪ স্টার দিচ্ছি, এক মাস ব্যবহারের পর রিভিউ আপডেট করবো, স্থায়িত্ব কতদিন হবে সেটাই দেখার বিষয়! ",2020/02/27,12 Dec 2019,4,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"The product is awosome and fantastic but the glue is not verry well.Otherwise,All things are ok.",2020/02/27,2  weeks ago,5,Martoza H.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Valo products kinte paren  ,2020/02/27,4  weeks ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"সবাই ভালো,,, রিমোটও কাজ করে সব রং এর লাইট কাজ করে।।। 
বাট একটা সমস্যা  waterproof না।।।    ",2020/02/27,17 Oct 2019,4,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"The product is good except for the remote, but you can use an app for controlling. ",2020/02/27,17 Nov 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Really Good. Fully recommended ,2020/02/27,31 Dec 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
যত বড় স্ট্রিপ ছিলো ততটুকু কাজ করে না। অর্ধেক এর মতো কাজ করে।,2020/02/27,17 Nov 2019,3,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Very bad quality. After one hour it stopped working.,2020/02/27,4  weeks ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Onk vlo product. Price onujai vlo. Ami satisfied ,2020/02/27,1  week ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"একদম যা চেয়েছি তাই পেয়েছি, যদিও ডেলিভারী টাইম একটু বেশি ছিল, প্রোডাক্ট অনেক ভাল ",2020/02/27,24 Nov 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
This is Awesome as i expected 😊! thanks for giving me a wonderful product ,2020/02/27,18 Jan 2020,5,Jubaer A.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Great Product. Fully Satisfied. Thank you,2020/02/27,27 Jan 2020,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"good one... I attached a picture.. although it's not where you should put your led strip lights 🤭
Thank you",2020/02/27,1  week ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"লাইট স্ট্রাপ টা ঠিক আছে।। ভালো জ্বলে।।
কন্ট্রোলার বোর্ড নিয়েও কোনো প্রবলেম হয়নি।।
কিন্তু মাত্র ২ঘন্টার মধ্যে পাওয়ার এডেপটার কেটে গেছে।। 
পাওয়ার এডেপ্টার এর কোয়ালিটি মোটেও ভালো নয়।। 😞",2020/02/27,18 Nov 2019,2,Badhon A.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"Damaged Product.
ami product receive korar 1 hour por unbox kore test korte jeye dekhi light jolse nAh.",2020/02/27,24 Oct 2019,1,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"joss, purai joss. thanks vai",2020/02/27,2  weeks ago,5,Rikto M.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
i have got an amazing product to be honest ,2020/02/27,4  weeks ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
good product...and the remote also work but its range is low...but its good,2020/02/27,17 Dec 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,13 Sep 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
very fast delivery and the product was good and the main thing w,2020/02/27,16 Oct 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
product ta valo...i love it,2020/02/27,16 Nov 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
best product till bought ,2020/02/27,29 Nov 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
works great. amazing product. will order another one soon,2020/02/27,27 Aug 2019,5,Shoshi H.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
"Not so bad,not that much good.Value for money.",2020/02/27,01 Nov 2019,4,Rafshan B.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
got it in perfect condition... hope it lasts..,2020/02/27,29 Oct 2019,4,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
The lights are so awesome. Thanks Daraz.,2020/02/27,25 Sep 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
very nice but the glue should be more stronger.,2020/02/27,03 Jan 2020,4,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Overall good. Sob kisuy valo silo 😊😊,2020/02/27,04 Sep 2019,5,Ridoy M.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Kub valo product.... Tnx a lot seller,2020/02/27,01 Oct 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,12 Nov 2019,5,Delwar H.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
totally satisfied 👌,2020/02/27,16 Sep 2019,5,G.m. R.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
joss product..... ,2020/02/27,14 Dec 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Good product..,2020/02/27,4  weeks ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
great product ,2020/02/27,4  weeks ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
joss product. ,2020/02/27,21 Oct 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
nice product,2020/02/27,06 Sep 2019,5,Al A.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,1  week ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,28 Oct 2019,5,Mahin,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,24 Nov 2019,4,Mahbub A.,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Great!!,2020/02/27,5  days ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Good! ,2020/02/27,05 Jan 2020,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,2  weeks ago,4,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,20 Oct 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,17 Oct 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
Amazing 2days Home Delivery anD Great product in lowest price,2020/02/27,12 Oct 2019,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
,2020/02/27,4  weeks ago,5,Daraz Customer,LED  Strip Light With Remote- 15 Feet RGB Colour,4.5
