content,current_date,date,rating,reviewer_name,title,total_rating
Authentic and perfect product. onek beshi beat er gaan e base ektu fete jete kheyal korsi but eta baade smooth af,2020/02/27,25 Nov 2018,5,Afran S.,Mi Piston Basic In-Ear Headphone - Black,4.6
this is a nice products... i was buy it 13 month ago.. still  it's warking good..,2020/02/27,06 Nov 2019,5,Daraz Customer,Mi Piston Basic In-Ear Headphone - Black,4.6
Got the original product. The original product of these headphones is one of the best within affordable price.,2020/02/27,07 Oct 2019,5,Hadiull I.,In-Ear Headphone Basic - Black,4.6
this product is well.orginal mi ear headphone. i am satisfied to purchase this.,2020/02/27,21 Nov 2019,5,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
"দাম হিসেবে খারাপ না, তবে একটা মেজর প্রবলেম হচ্ছে আমি কেনার সময় এটার ডিসক্রিপশনে লিখা ছিল পিস্টন বেসিক পরে বক্সে দেখি লিখা ইন ইয়ার বেসিক.. দুটো অবশ্যই ডিফরেন্ট প্রোডাক্ট, আর সাইন্ড কোয়ালিটি মোটামোটি মধ্যম মানের.. খুব ভালো না আর একেবারে খারাপও না",2020/02/27,19 Nov 2019,3,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
Original product. Awesome sounds but packing quality is low,2020/02/27,24 Oct 2018,5,Nasif R.,Mi Piston Basic In-Ear Headphone - Black,4.6
১০০% ওরিজিনাল। ,2020/02/27,22 Oct 2018,5,Daraz Customer,Mi Piston Basic In-Ear Headphone - Black,4.6
Good quality And sound quality average Level er,2020/02/27,20 Oct 2018,4,Mehedi H.,Mi Piston Basic In-Ear Headphone - Black,4.6
Cool earphone,2020/02/27,21 Sep 2018,5,Daraz Customer,Mi Piston Basic In-Ear Headphone - Black,4.6
I am satisfied. cause I got a best product of the range of this price. and thanks for giving me the update product.,2020/02/27,21 Nov 2019,5,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
"আপনাদের প্রদত্ত ছবির হেডফোন জ্যাক টা সোজা। কিন্তু প্রাপ্ত প্রোডাক্টের টা বাঁকানো।
এমনিতে প্রোডাক্টটা ভালোই।
বাট আমার বাঁকানো জ্যাক আমার পছন্দ না।",2020/02/27,21 Nov 2019,3,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
"একদম অরিজিনাল...খুবই ভাল মানের ইয়ারফোন...।
ডেলভারী সুপার ফাস্ট ছিলো....।",2020/02/27,23 Nov 2019,5,Md. S.,Mi In-Ear Headphone Basic - Black,4.6
"Delivery Speed was ossam ... only 1day took for delivery...
headphone quality was good... sound quality was very good.... but there is a small problem about headphone jack...  it requireds more pressure to insert...otherwise it didnt supported",2020/02/27,3  weeks ago,5,ovi A.,Mi In-Ear Headphone Basic - Black,4.6
"Authentic product. ভেবেছিলাম অরিজিনাল প্রোডাক্ট হয়তো পাবো না। কিন্তু সত্যিই অরিজিনাল পেয়েছি। 

ধন্যবাদ দারাজ এবং সেলার কে অরিজিনাল প্রোডাক্ট প্রোভাইড করার জন্য। 

Fully satisfied ",2020/02/27,3  weeks ago,5,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
"osthir akta jinsh....
onek valo...
but bass love der jonno na..
bass aber karap o na valoy
ar 7 din por review ta dilam..
color ta aktu ute gese 7 din a",2020/02/27,03 Dec 2019,5,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
product original but 3-4 month por por change kora lage. noshto hoye jay. bujhi na bishoy ta ki hoy. er age 9 sep ekta kinsilam 29 nov noshto hoiche. aj ekta nilam dekhi koydin jay.,2020/02/27,03 Dec 2019,4,Abu B.,Mi In-Ear Headphone Basic - Black,4.6
"Extra positive Review :
ভালো তো, ভালো না?
চাইলাম চা পাইলাম শরবত 
কিন্তু ব্যাপার টা আসলেও ভালো লাগছে ধন্যবাদ Daraz। না চাইতেই অনেক কিছু দিয়ে দেওয়াতে😃",2020/02/27,14 Nov 2019,5,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
"প্রডাক্ট ১০০% অরিজিনাল, আর আমি ফুল স্যাটিসফাইড। আর এই সেলার এর পন্যটা খুব দ্রতই ডেলিভারি দিয়েছে।
সচরাচর এই হেডফোন ৫৫০ টাকা দামে বিক্রি হয়,
কিন্তু এরা ৩৫০ টাকাতে অরিজিনাল পন্যটা দিচ্ছে,  এটা আসলেই অসাধারণ। 
So আমার recommend থাকবে,  এই সেলার এর কাছ থেকে চোখ বন্ধ করে যে কোন পন্য নিতে পারেন৷ 

ধন্যবাদ। ",2020/02/27,25 Sep 2019,5,Daraz Customer,Mi In-Ear Headphone Basic - Black,4.6
"Tnx to smart gadget home... 👍
Product original chilo,olpo daam e onek josh ekta earphone pelam... 😍👌",2020/02/27,13 Sep 2019,5,RANA,Mi In-Ear Headphone Basic - Black,4.6
Not good ,2020/02/27,23 Dec 2018,5,Mehedi H.,Mi Piston Basic In-Ear Headphone - Black,4.6
Good sound. I have used it before.Before version was good rather than new version,2020/02/27,20 Dec 2018,5,aditya P.,Mi Piston Basic In-Ear Headphone - Black,4.6
Headphone tar sound quality ta bes vlo cilo😘😘😘,2020/02/27,19 Dec 2018,5,Nadim M.,Mi Piston Basic In-Ear Headphone - Black,4.6
I didn’t got my product but it’s showing the product is delivered!!!,2020/02/27,19 Dec 2018,1,Saddam H.,Mi Piston Basic In-Ear Headphone - Black,4.6
Good product and original. Delivered fast. Seller recommended,2020/02/27,15 Dec 2018,5,Bisshajit S.,Mi Piston Basic In-Ear Headphone - Black,4.6
cause shown be to need i...kortese show delevared but pelam DeleveRy,2020/02/27,12 Dec 2018,1,new A.,Mi Piston Basic In-Ear Headphone - Black,4.6
Very nice genuine product,2020/02/27,08 Dec 2018,5,Farid A.,Mi Piston Basic In-Ear Headphone - Black,4.6
"It's Original, Thanks",2020/02/27,08 Dec 2018,5,Mahabub A.,Mi Piston Basic In-Ear Headphone - Black,4.6
Original product,2020/02/27,07 Dec 2018,5,Tazizul I.,Mi Piston Basic In-Ear Headphone - Black,4.6
"Almost same as the picture except the  written ""mi"" beside the ear phone as shown in picture",2020/02/27,02 Dec 2018,5,sajjad H.,Mi Piston Basic In-Ear Headphone - Black,4.6
Ordered 3..got all fully intact..Original product,2020/02/27,02 Dec 2018,5,taufique S.,Mi Piston Basic In-Ear Headphone - Black,4.6
Excellent sound quality. Totally worth it in this price!,2020/02/27,01 Dec 2018,5,Shahamat T.,Mi Piston Basic In-Ear Headphone - Black,4.6
Bad Delivers ,2020/02/27,01 Dec 2018,1,Rikon R.,Mi Piston Basic In-Ear Headphone - Black,4.6
Bad Delivers ,2020/02/27,01 Dec 2018,5,Rikon R.,Mi Piston Basic In-Ear Headphone - Black,4.6
Best in this budget ....,2020/02/27,30 Nov 2018,5,Shoaib A.,Mi Piston Basic In-Ear Headphone - Black,4.6
Original Product. I recommend this seller.,2020/02/27,30 Nov 2018,5,Ismatul H.,Mi Piston Basic In-Ear Headphone - Black,4.6
Original products. ,2020/02/27,29 Nov 2018,5,Imran K.,Mi Piston Basic In-Ear Headphone - Black,4.6
original product. thanks,2020/02/27,29 Nov 2018,5,shuvojit D.,Mi Piston Basic In-Ear Headphone - Black,4.6
Good product... satisfied ...,2020/02/27,28 Nov 2018,5,saifulla I.,Mi Piston Basic In-Ear Headphone - Black,4.6
I was over charged,2020/02/27,27 Nov 2018,1,Daraz Customer,Mi Piston Basic In-Ear Headphone - Black,4.6
Average product. তবে pic এ যে রকম দেখায় ঠিক ওইরকম না!!! আর ডেলিভারি খুব বাজে!!!,2020/02/27,27 Nov 2018,2,Md E.,Mi Piston Basic In-Ear Headphone - Black,4.6
Sound quality was good and clarity was fair but bass and treble were weak,2020/02/27,26 Nov 2018,3,Ayaz H.,Mi Piston Basic In-Ear Headphone - Black,4.6
Orginal product! but price ta ektu besi.baire thika kinle 300 te kena jay,2020/02/27,26 Nov 2018,4,MH R.,Mi Piston Basic In-Ear Headphone - Black,4.6
Genuine Product. Thanx Smart Gadget Home,2020/02/27,26 Nov 2018,5,Anik R.,Mi Piston Basic In-Ear Headphone - Black,4.6
প্রোডাক্ট ভালো এবং জেনুইন পেয়েছি। ,2020/02/27,25 Nov 2018,5,Nuruzzaman K.,Mi Piston Basic In-Ear Headphone - Black,4.6
