content,current_date,date,rating,reviewer_name,title,total_rating
"The power of the frother derived from alkaline battery, which not give sufficient energy, not satisfied from the product ",2020/02/27,12 Nov 2018,2,Daraz Customer,Mini Drink Frother - Multicolor,4.1
Very usefull product. Good condition. It's make coffee creamy & tasty just 30 second!! ,2020/02/27,19 Jul 2018,5,Suhan,Mini Drink Frother - Multicolor,4.1
Serves the purpose well.,2020/02/27,13 Sep 2018,5,Reatul K.,Mini Drink Frother - Multicolor,4.1
It works as expected. Not more not less.,2020/02/27,26 Oct 2018,5,Md. A.,Mini Drink Frother - Multicolor,4.1
খুব ভাল একটা পন্য।,2020/02/27,01 Oct 2018,5,Daraz Customer,Mini Drink Frother - Multicolor,4.1
Easy to use. ,2020/02/27,26 Apr 2018,5,Public,Mini Drink Frother - Multicolor,4.1
Batteries should be included. Works fine.,2020/02/27,09 May 2018,4,Zayan,Mini Drink Frother - Multicolor,4.1
Very Good product. ,2020/02/27,18 Jan 2018,5,SHAKIL A.,Mini Drink Frother - Multicolor,4.1
Product serves good service but delivery was too late,2020/02/27,24 Jun 2018,4,Md A.,Mini Drink Frother - Multicolor,4.1
দেখে ভালই মনে হয়েছে। কিন্তু কালার পছন্দ হয়নি আর সাথে ব্যাটারি দেওয়া হয়নি। ক্রেতাদের সাথে এমনটা করা উচিত নয়। ব্যাবসা করতে হলে সততার সাথে করা উচিত।,2020/02/27,12 Jan 2020,2,Daraz Customer,Mini Drink Frother - Multicolor,4.1
Product  quality  is Very  cheap.  আপনি এটা ফুটপাথ হতে ৩০ টকাতে পেয়ে যাবেন।,2020/02/27,28 Nov 2019,2,ASHIK A.,Mini Drink Frother - Multicolor,4.1
Onek donnobadh sellerke...ekdom new product and puraton battery diye chalai dekhsi onek speed so overall tnqq so much for this product...normally dukhane 120taka fixed r ami apnader theke kinechi 65diye,2020/02/27,26 Sep 2019,5,Daraz Customer,Mini Drink Frother - Multicolor,4.1
,2020/02/27,25 Dec 2018,5,Daraz Guest,Mini Drink Frother - Multicolor,4.1
,2020/02/27,18 Dec 2018,3,Daraz Customer,Mini Drink Frother - Multicolor,4.1
