content,current_date,date,rating,reviewer_name,title,total_rating
"products wire quality is average and they provide me a broken multiplug which you seen in those picture. And daraz should also be concerned about how you preparing a product. you should provide a box insted of poly bag cz electronic products is fragile. 
Im giving 2* just bcz of fastest delivery.",2020/02/27,3  weeks ago,2,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"Great 👌 Revived within 3 days ❤️
Quality জোশ এই Price এ .. 284 টাকা লাগছে আমার ।
পেপারফ্লাই কুরিয়ার বক্স টারে দুমরে মুচরে ফেলছে । কিন্তু প্রোডাক্ট ইউজ করে আমি খুব খুশি । ওজন ও ভালো । হালকা পলকা নয় । সেলার রিকোমান্ডেড ❤️👌
5* 💝",2020/02/27,28 Nov 2019,5,Md J.,Multiplug extension10 Port socket HP-0555,4.6
"Wow! Just wow!! Best multiplug I've used yet, 10 ta port e okay, ar wire ta thik 5 meter lomba,16 foot!!! more than we need, ek room theke onno room eo valovabe use kora jabe! photo te dekha jachche.. will order more from u,thanks a lot :-)",2020/02/27,28 Oct 2019,5,Tahera K.,Multiplug extension10 Port socket HP-0555,4.6
very low quality multiplug. the sockets are made from very thin tin. not proper metal alloy. it will rust in no time. the connections inside are all done with only solder which will melt if the unit gets hot under load. I could not insert any plug which has flat pin. only plug with round pins were easy enough to use. it was a wastage of money. ,2020/02/27,23 Jan 2020,1,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"২১ তারিখে প্রোডাক্টি অর্ডার করি, আজ ২৪ তারিখ হাতে পেলাম। এই প্রাইসে অসাধারণ মাল্টিপ্লাগ। ওয়্যার ১৫ ফিট লম্বা প্লাস ওয়্যার এবং কর্ডের কোয়ালিটি অনেক ভালো। প্লালগুলোও যথেষ্ট টেকসই।  ফোন এবং লেপটপ চার্জ দিয়ে দেখেছি, ভালোই কাজ করছে। এভ্রিথিং ফাইন, নিঃসন্দেহে অর্ডার করতে পারেন। হোম ডেলভারি যেহেতু ফ্রি, ঘরে বসেই পেয়ে যাবেন।",2020/02/27,24 Nov 2019,5,Abu J.,Multiplug extension10 Port socket HP-0555,4.6
"Voltmeter ecse hole kaj kore, na hole kore na. Ami 280+15% Cashback offer e niyechi. ei daame valoi. 5day use e switch nosto hye geche. taw ei daame valoi. wire ta besh lomba ache. ",2020/02/27,27 Oct 2019,4,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"quality was good, but please use bubble sheet for Packaging. edited -after 2 days indication light not working",2020/02/27,21 Sep 2019,4,Faridur R.,Multiplug extension10 Port socket HP-0555,4.6
valo kintu protita shoket er moddhe arektu gap hoile valo hoito. Delivery ta aktu slow chilo,2020/02/27,16 Jan 2020,3,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
very good product not a cheap plastic. guys keep up the good works.👌🏻,2020/02/27,04 Dec 2019,5,Showhanur S.,Multiplug extension10 Port socket HP-0555,4.6
খুব ভালো যেমনটা ছবিতে ঠিক তেমনি পেয়েছি।।।।।।।।আশা করি নিতে পারবেন সবাই,2020/02/27,1  week ago,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"Not that good quality, the voltage miter is not working after 2 days. ",2020/02/27,06 Oct 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
অনেক ভালোই মনে হচ্ছে। ৩ দিনে বাসায় দিয়ে গেলো ফ্রি ডেলিভারি। হেভি ডিউটি মনে হচ্ছে। কয়দিন সার্ভিস দেয় দেখা যাক। কিন্তু তার টা যেভাবে পেচানো ছিলো খুলতে ৫ মিনিট লাগসে। ধন্যবাদ M S SHARIF TRADERS। ,2020/02/27,21 Jan 2020,5,Afzal W.,Multiplug extension10 Port socket HP-0555,4.6
Very nice product . Thanks Daraz.,2020/02/27,16 Jan 2020,5,Radin A.,Multiplug extension10 Port socket HP-0555,4.6
মাশা আল্লাহ!  পণ্যটি বেশ ভালো ৷ যেমন দেখা যায় বাস্তবেও তেমনি ৷ ,2020/02/27,18 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
মিডিয়াম কোয়ালিটি প্রোডাক্ট।যেদিন ডেলিভারি দিয়েছে সেদিনই হিটার চালানোর পর নষ্ট হয়ে গেছে।,2020/02/27,13 Dec 2019,2,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"just awesome and  shipping giving quickly so,i am very happy",2020/02/27,29 Nov 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
Great product! Received the product and using from yesterday. Everything's working fine.,2020/02/27,23 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
non brand. but valo. thanks seller for first ship to warehouse,2020/02/27,20 Jan 2020,5,Ahsan H.,Multiplug extension10 Port socket HP-0555,4.6
Good product. Satisfied. ,2020/02/27,19 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"very good product. Receive 15M.thanks for the goods, as per info.
",2020/02/27,25 Aug 2019,5,robiur R.,Multiplug extension10 Port socket HP-0555,4.6
product quality is good. but try to delevary full fresh product. ,2020/02/27,03 Sep 2019,5,jobayer S.,Multiplug extension10 Port socket HP-0555,4.6
Good Product. All the sockets are ok. Satisfied. ,2020/02/27,17 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
best product in price,2020/02/27,11 Nov 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
Good quality with reasonable price.Satisfied,2020/02/27,18 Oct 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
product was great. good seller . recommend,2020/02/27,02 Sep 2019,5,Shaolin S.,Multiplug extension10 Port socket HP-0555,4.6
"খুবই সুন্দর, আমার অনেক পছন্দ হয়েছে।",2020/02/27,3  days ago,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
Works well but seems low quality!,2020/02/27,3  weeks ago,4,Araf R.,Multiplug extension10 Port socket HP-0555,4.6
"Good Product, as same as picture",2020/02/27,26 Nov 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
products ta awesome... onk valo,2020/02/27,30 Nov 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
kom dame onek sundor multiplug,2020/02/27,11 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"well finished, working good",2020/02/27,12 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
kono kota hobe na just wow,2020/02/27,15 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"ak kothay osadaron
",2020/02/27,24 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"lt was really surprised me that how come seller sent this  [multiplug] electronic device without used bubble wrap.. ??
As I have reviewed this product & it's seems okay now.
But I have little bit worry about this product due to without having bubble wrap, if product have any internally damaged during Daraz delivery time then who will take this liability? Of course seller not Daraz!!
As a customer i just only advice you to take this issues very seriously &  try to improve it on your future shipments.. thank you!
",2020/02/27,25 Nov 2019,4,Parvaz,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,3  weeks ago,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,15 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,14 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,06 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,28 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"good product
",2020/02/27,02 Nov 2019,2,Abdullah A.,Multiplug extension10 Port socket HP-0555,4.6
Perfect 👌,2020/02/27,3  weeks ago,5,Kawsar K.,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,4  weeks ago,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,31 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,18 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,24 Nov 2019,5,Mohammad M.,Multiplug extension10 Port socket HP-0555,4.6
,2020/02/27,22 Nov 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
Very low quality product. Two pins port are already so much loose that it cannot create connection. Will not recommend it. ,2020/02/27,2  weeks ago,2,Moniruzzaman M.,Multiplug extension10 Port socket HP-0555,4.6
Product is good compared to the price. But the distance of sockets do not allow two plugs to connect side by side. ,2020/02/27,4  weeks ago,4,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
The product is very good!  even the after sale service is better than anyone. they call me and asked about the performance. moreover their logistics suppert are very well. you can buy their products without any hesitation! ,2020/02/27,26 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
প্রাডাক্টটি কিনছি ল্যাপটপের চার্জার বসানোর জন্য...কিন্তু চার্জারই বসে না...হুদ্দাই টাকা নষ্ট..তারপরে প্রাডাক্টিতে অনেক দাগ আর ফাটাফাটা..এখন কি প্রডাক্ট রিটার্ন করা যাবে আর কিভাবে রিটার্ন করবো বলবেন প্লিজ...অগ্রিম ধন্যবাদ,2020/02/27,08 Dec 2019,1,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
This product build quality  cheap.Batton does not work.Daraz should take proper step about this seller.,2020/02/27,02 Dec 2019,1,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
product ok but delivery man not. delivery man gave the package to my security and took his signature rather taking my permission and my signature. It's really unsecured way. Daraz need to make delivery system secured by otp system like ecurier.,2020/02/27,18 Nov 2019,3,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"The plugs weren't fitting properly.After pushing rougly i was able to fit those plugs.But product is working good.
",2020/02/27,07 Nov 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
5 star দেয়ার মাসখানেক পরেই সেটা 1 star করতে হল। মাত্র ১ দিন ব্যবহার করার পরই নষ্ট হয়ে গেছে। খুবই নিম্নমানের প্রোডাক্ট,2020/02/27,30 Oct 2019,1,Md J.,Multiplug extension10 Port socket HP-0555,4.6
"fantastic product..but when i odered the next day the price discreased.. so, a little bit disappointing... that's why giving 4 star.",2020/02/27,29 Oct 2019,4,Md. A.,Multiplug extension10 Port socket HP-0555,4.6
ata market a tinso/charso takay jegula sell kore tar theke 1000 gun valo. ami 287 takay nisilam with free delivery.😂 300 ar moddhe hole chokh bondh kore nia nen. u wont regret😉,2020/02/27,20 Sep 2019,5,asad Z.,Multiplug extension10 Port socket HP-0555,4.6
"আশা যা করেছিলাম তার থেকেও বেশি কিছু। দাম অনুযায়ী সাধারণ কোনো মাল্টি মনে করেছিলাম। কিন্তু এটা অনেক শক্তিশালী, দুইদিন একনাগাড়ে ব্যবহার করলাম, স্মুথলি ব্যবহার করা যাচ্ছে; রাউটার, ফোন চার্জ, ইস্ত্রী, ইলেক্ট্রিক কেটলি সবই ব্যবহার করে দেখেছি।",2020/02/27,19 Sep 2019,5,S. M.,Multiplug extension10 Port socket HP-0555,4.6
"ফালতু প্রোডাক্ট ,দুইটা পোর্ট কাজ করে না, ফিরত দিচ্ছি না কারন দারাজ এর রিফান্ড পলিসি খুবই খারাপ ",2020/02/27,05 Dec 2019,1,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"Quality valo . Amr tay just power switch ta nosto hoye gese kinar 1 din porei.

",2020/02/27,2  weeks ago,3,Kazi A.,Multiplug extension10 Port socket HP-0555,4.6
লুজ কানেক্ট হয়। ভোল্টমিটার মাঝে মাঝে কাজ করে না আপনা থেকেই। তবে এত অল্পদামে ভাল।,2020/02/27,27 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
akdom baje.....dui tin ber chalano r por r cholse na...akn return kora o jamela,2020/02/27,20 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
ভালো জিনিস ২০ দিন হয়ে গেলো এখোনো কোনো সমস্যা পাই নি । দাম হিসাবে অনেক ভালো । ,2020/02/27,31 Dec 2019,4,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
I think the product is genuine. Sockets can well grip any types of plugs.,2020/02/27,13 Jan 2020,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
যদিও ভোল্টেজের কাটা সবসময় ২২০ ভোল্টের থাকে তবুও মান ভাল। তার অনেক লম্বা,2020/02/27,07 Jan 2020,5,monju,Multiplug extension10 Port socket HP-0555,4.6
Very Well Product!! Onk Valo. Ami 5star Dai na But They Deserve It.. ,2020/02/27,14 Jan 2020,5,TechJoy 3.,Multiplug extension10 Port socket HP-0555,4.6
overall good product. using 10 ports at a time. No issue occurred.,2020/02/27,26 Jul 2019,5,Md.Ibrahim K.,Multiplug extension10 Port socket HP-0555,4.6
Satisfied...........now depend on its  Durability of the Product.,2020/02/27,19 Dec 2019,5,Sumit S.,Multiplug extension10 Port socket HP-0555,4.6
"Great multiplug, great price but one of the ports doesn't work.",2020/02/27,12 Dec 2019,4,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
Good multi-plug & design nice. Prompt delivery. Within 2 days.,2020/02/27,23 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
"Quality - 2.5/5.0
Price - 4.0/5.0
Quality + Price - 5.0/5.0",2020/02/27,10 Dec 2019,3,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
ভাল দাম একটু বেশি আর একটু কম হলে ভাল হতো প্রডাক্ট অনুজায়ি,2020/02/27,27 Dec 2019,5,Daraz Customer,Multiplug extension10 Port socket HP-0555,4.6
