content,current_date,date,rating,reviewer_name,title,total_rating
"Budget killer......... because :- 
1. Original product, 
2. Sound quality joss,
3. packaging joss,
4. sob theke valo lagise earphone er case ta.

Overall sob kisu thik thak
Aj porjonto Daraz amake nirash koreni
",2020/02/27,27 Dec 2019,5,Daraz Customer,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
"product valo but 
order dici black r paici blue ...
aita sad cilo and product o onno ta dice....,,🤬😡",2020/02/27,20 Jan 2020,3,Tasbiul P.,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
"100% genuine authentic product, Thanks Gadgets Lab. Very fast delivery 2 days only. Satisfied of my Product and Sound quality of this Product Satisfactory at this Price range.",2020/02/27,04 Aug 2019,5,chayan S.,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
As per price product is good. Delivery and packing was great. thanks daraz...,2020/02/27,11 Nov 2019,4,Daraz Customer,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
Used UiiSii headphones before. Totally worth it. Genuine product. You can scan the QR code. really good mids and high you wont miss anything. Best for this budget.   Would recommend (honest review tho),2020/02/27,03 Dec 2019,4,Rokonujjaman K.,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
"আমি প্রথম হোয়াইট কালার টা অর্ডার দিছি মনে হয়।   আলহামদুলিল্লাহ হোয়াইট কালার টি পেয়েছি, সবাই কিণতে পারেন  জোস খুব ভালো প্রোডাক্ট কেয়ারিং ব্যাগটা পুরাই আগুন ♥️🧡💛💚",2020/02/27,01 Dec 2019,5,Daraz Customer,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
"I would surely recommend this earphones , totally premium feeling and sound quality in this budget... i really love the bag though , 
i thought i will face some problems bcz , this model doesn't have air buds but its totally cool... ",2020/02/27,12 Nov 2019,5,udoy A.,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
১০০% অরিজিনাল প্রোডাক্ট। QR কোড স্ক্যানের মাধ্যমে চেক করা যাবে। সাউন্ড কুয়ালিটি খুবই ভালো। কানে ব্যাথা হবার সম্ভাবনা নেই। এই বাজেটে বেস্ট একটা ইয়ারফোন।,2020/02/27,30 Sep 2019,5,Md. S.,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
"Product was original, fast shipping within 3 days. :)
Sound quality amaz as they told...
",2020/02/27,02 Aug 2019,5,Md. S.,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
 সাউন্ড কোয়ালিটি  খুব ভালো । ধন্যবাদ দারাজ ভালো প্রোডাক্ট দেওয়ার জন্য,2020/02/27,14 Sep 2019,5,Md.khokon I.,UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone - Black,4.6
