content,current_date,date,rating,reviewer_name,title,total_rating
"নেটফ্লিক্স, ইউটিউব চলে যেটা আমার দরকার ছিলো। কিন্তু ডিসপ্লে এর মধ্যে ২/৩ টা কালো স্পট আছে, সম্ভবত ডেড পিক্সেল। ",2020/02/27,14 Nov 2019,2,H M.,"""Vikan Android /Smart HD LED TV - 32 - Black""",4.5
"০১/০১/২০ তারিখে অর্ডার করে ৪তারিখ হাতে পেয়েছি। পেকেজিং ভালো ছিল। প্রোডাক্ট তেমন খারাপ না। সারাদিন ভালোই চলছে। তবে ইউটিউব প্লে হয় না। এক্সট্রা টিভি বক্স লাগালে হয়তো ভালো হবে। ওভারঅল, প্রাইজ হিসেবে খারাপ না। আশা করছি কোন ডিস্ট্রাব করবে না। আপনারা নিতে পারেন..",2020/02/27,3  weeks ago,5,Daraz Customer,Vikan Android /Smart HD LED TV - 32 - Black,4.5
দাম হিসাবে অনেক ভালো টিভি। আর ছেলার গুলাও অনেক ভালো ফরিদপুরের। আপনারা কোনো কিছু না ভেবে কিনতে পারেন ওই টিভিটা আমি ১৬ দিন ধরে চালাইতেছি কোনো সমস্যা দেখা যাইনাই ,2020/02/27,30 Dec 2019,5,Daraz Customer,Vikan Android /Smart HD LED TV - 32 - Black,4.5
"Good product...❤️❤️
Good Seller❤️❤️❤️
love it...",2020/02/27,21 Nov 2019,5,Daraz Customer,"""Vikan Android /Smart HD LED TV - 32 - Black""",4.5
কম দামের মধ্যে অসাধারণ কোয়ালিটি সেলারকে বলবো ওয়ারেন্টি সার্ভিস ভালো দেওয়ার জন্য ,2020/02/27,23 Dec 2019,5,Daraz Customer,Vikan Android /Smart HD LED TV - 32 - Black,4.5
"মনে হচ্ছে ভালই,তবে ওয়ারেন্টি গেরান্টি ঠিক মত পেলে অনেক খুশি হতাম।তবে আইটেমটা সেইভলি হাতে পেয়েছি।সরাসরি এপস থেকে ইউটিউব চলে না ব্রাউজার থেকে চালাতে হয়।কেবল তো ৩/৪ দিন এখন ভাল চল্লেই খুশি।",2020/02/27,22 Dec 2019,5,Daraz Customer,Vikan Android /Smart HD LED TV - 32 - Black,4.5
"ভয় ভয় হচ্ছিল যে পণ্য কল্পনা যেমন করছি, সেরকম হবে কিনা। প্যাকেজিং অনেক সুন্দর ছিল। তবে ভিতরে যে ওয়ারেন্টি কার্ড ছিল,সেখানে ৩বছরের ওয়ারেন্টি দেওয়া। আর যোগাযোগ এর জন্য সরাসরি কোনো নাম্বার দেওয়া নেই।যা হতাশাজনক।আর ওভারঅল ভালই দেখলাম।সাউন্ড কোয়ালিটি,পিকচার কোয়ালিটি ভালই আছে। দেখি কতদিন টেকে। কম টাকায় পন্যটি নিতে পারেন ",2020/02/27,15 Dec 2019,5,Daraz Customer,Vikan Android /Smart HD LED TV - 32 - Black,4.5
Very good product. Color and sound quality is also good. Specially best product with the budget. Just RAM is 512 Mb. If anyone want to use the Android feature smoothly than he/she need to buy extra Android tv box. Using this item since 1 week. Facing no issue except internal storage. Loved this product.,2020/02/27,20 Nov 2019,5,Daraz Customer, Vikan Android /Smart HD LED TV - 32 - Black ,4.5
আশা রাখি ভালো সার্ভিস দিবে। চলছে মোটামুটি। তবে সাউন্ড কোয়ালিটি বেশি উন্নত না।  ,2020/02/27,02 Dec 2019,5,Daraz Customer,Vikan Android /Smart HD LED TV - 32 - Black,4.5
অনেক সুন্দর একটা প্রডাক্ট। এত অল্প টাকায় সুন্দর একটা টিভি পাওয়া সত্যি মুশকিল। সবাই নিশ্চিন্তে কিন্তে পারেন।,2020/02/27,07 Jan 2020,5,Daraz Customer,Vikan Android /Smart HD LED TV - 32 - Black,4.5
