content,current_date,date,rating,reviewer_name,title,total_rating
"Amazing phone. Never used an Alcatel branded phone so quite happy with this one. Specs are amazing. Camera, sound quality, ease of use, everything is great. Only wish the in built memory was more. Delivery of product was late. Had to call daraz constantly to find out status of delivery. Eventually got it 3 days after cause weekend was there.",2020/02/25,31 Oct 2019,5,by Suez I.,Alcatel 3 Smartphone 5.9  - 3GB RAM - 32GB ROM,4.6
"ভাল লাগছে, কিন্তু আফসোস এক টাকার অফার এ পাই নাই।
দাম দশ এর মধ্যে থাকলে ভাল চলবে মোবাইল টা।",2020/02/25,15 Oct 2019,5,by Jalil A.,Alcatel 3 Smartphone 5.9  - 3GB RAM - 32GB ROM,4.6
,2020/02/25,26 Nov 2019,5,by Ashraful A.,Alcatel 3 Smartphone 5.9  - 3GB RAM - 32GB ROM,4.6
"The product came in due time. The phone is really nice, camera quality is very good and there are many advanced features like slow mo, time lapse. I wish the earphone was of a better quality. Otherwise the phone is really good. I am very happy with it.",2020/02/25,21 Nov 2019,5,by Daraz Customer,Alcatel 3 Smartphone 5.9  - 3GB RAM - 32GB ROM,4.6
"This phone was really awesome. slim and very light weight. display is ok and overall it's truly a budget killer. about camera I think it will meet your expectations. comes up with a silicon back cover, warranty card, a useless screen protector and a black head phone. thanks Daraz for bringing such a lovely product and really greatful for a really fast home delivery.",2020/02/25,16 Nov 2019,5,by Asif Z.,Alcatel 3 Smartphone 5.9  - 3GB RAM - 32GB ROM,4.6
"This product is very good, apps fast running, Internet browsing speed is also faster.",2020/02/25,27 Nov 2019,5,by Daraz Customer,Alcatel 3 Smartphone 5.9  - 4GB RAM - 64GB ROM,4.4
কম দামের মধ্যে সন্তুষ্ট হওয়ার মত একটা ফোন।,2020/02/25,26 Nov 2019,5,by Daraz Customer,Alcatel 3 Smartphone 5.9  - 4GB RAM - 64GB ROM,4.4
,2020/02/25,25 Nov 2019,5,by Daraz Customer,Alcatel 3 Smartphone 5.9  - 4GB RAM - 64GB ROM,4.4
,2020/02/25,15 Oct 2019,5,by Daraz Customer,Alcatel 3 Smartphone 5.9  - 4GB RAM - 64GB ROM,4.4
রাতের বেলা ফ্লাস দিয়ে ফটো তুললে মনে হয় হলুদ মেখে ফটো তুলেছি। ক্যামেরা খুবই বাজে,2020/02/25,19 Nov 2019,3,by MD. S.,Alcatel 3 Smartphone 5.9  - 4GB RAM - 64GB ROM,4.4
