content,current_date,date,rating,reviewer_name,title,total_rating
"Full Intact with Warranty, Good Product, Moreover Delivery was excellent , it's only 2 days",2020/02/26,1  week ago,5,by Daraz Customer,Samsung Galaxy A30s -Android 9.0 (Pie) - 4GB/128GB - Super AMOLED Display - 4000mAh Fast Charging,5.0
,2020/02/26,3  days ago,5,by Daraz Customer,Samsung Galaxy A51 - Android 10; One UI - 6GB/128GB - Quad Camera - 48MP Camera,5.0
সতি দারাজ থেকে মোবাইল ফোন কিনার মজাটাই আলাদা জেমনটা দেকলাম তেমনটাই পেলাম ধন্যবাদ দারাজ কে,2020/02/26,3  weeks ago,5,by Daraz Customer,Samsung Metro 350 Feature Phone,5.0
,2020/02/26,2  weeks ago,5,by Daraz Customer,Samsung Metro 350 Feature Phone,5.0
,2020/02/26,2  weeks ago,5,by Daraz Customer,Samsung Galaxy A30s -Android 9.0 (Pie) - 4GB/64GB - Super AMOLED Display - 4000mAh Fast Charging,5.0
,2020/02/26,21 Jan 2020,5,by Daraz Customer,Samsung Galaxy A30s -Android 9.0 (Pie) - 4GB/64GB - Super AMOLED Display - 4000mAh Fast Charging,5.0
awesome product.....I love this phone very much....And I also happy with this.....Thank you daraz....,2020/02/26,05 Nov 2019,5,by Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
It's the 3rd Infinix phone purchased from daraz and as always a great deal. ☺☺ thank's to Infinix and Daraz both. I just loved this phone. 😍😍,2020/02/26,04 Nov 2019,5,by Shifat I.,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
It's my 2nd Hot 8 ordered on 10th November and received on 12th November. As always a great deal with Infinix and Daraz. Thanks a lot. Happy Shopping!! 😊😊,2020/02/26,15 Nov 2019,5,by Shifat I.,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
কোন কথা হবে না চোখ বুঝে ওটা দিতে হবে আমি দশের ভিতর বিশ দিলাম আপনারা কেউ মনে করলে কিনতে পারেন ।আমি সম্পূর্ণ ইনটেক পাইছি ধন্যবাদ দারাজ কে এবং ধন্যবাদ জানাই ইনফিনিক্স অফিশিয়াল স্টোর কে,2020/02/26,06 Nov 2019,5,by Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
হাতে পেলাম ভাল মন্দ এখনি বলতে চাচ্ছি না কয়েকদিন ইউজ করি,2020/02/26,03 Nov 2019,5,by Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
it's a great phone to use than other feature phone.,2020/02/26,16 Sep 2018,5,by Daraz Customer,Samsung Guru Music 2 Feature Phone - White,5.0
"I have no words to say about infinix hot 8! Just amazing set offered by infinix on this price to it's customers!  How is possible to deliver such a kind of massive and great features together on this cheap price!? I am surprised when checked review of infinix hot 8 which gives you 4 gb ram,64 gb rom, 5000 mili ampier battery with 6.6"" hd ips display. and many of user friendly features. I love this. and highly recommended others who is not buy this phone still or planning to buy. In this November 11 , It will price be dropped more. Stay tune with the next campaign.",2020/02/26,09 Nov 2019,5,Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
অনেক সুন্দর একটা ফোন। সব দিক দিয়েই সেরা একটি ফোন এই টাকার মধ্যে।,2020/02/26,23 Nov 2019,5,Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
কোন কথা হবে না চোখ বুঝে ওটা দিতে হবে আমি দশের ভিতর বিশ দিলাম আপনারা কেউ মনে করলে কিনতে পারেন ।আমি সম্পূর্ণ ইনটেক পাইছি ধন্যবাদ দারাজ কে এবং ধন্যবাদ জানাই ইনফিনিক্স অফিশিয়াল স্টোর কে,2020/02/26,06 Nov 2019,5,Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
অনেক ভালো মানের ফোন। ধন্যবাদ দারাজ ,2020/02/26,11 Nov 2019,5,Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
কোনো কথা হবেনা Just ❤❤❤❤💖💖💖💖💖 Thanks Daraz Thanks Infinix ,2020/02/26,05 Nov 2019,5,Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
Very GooD Quality Packing! Fast delivery! Delivered in 3 Days! Original Full Box Phone!,2020/02/26,4  weeks ago,5,by Masud A.,Vivo Y90 - 2GB/32GB Smartphone,5.0
Good,2020/02/26,09 Jan 2020,5,by Daraz Customer,Vivo Y90 - 2GB/32GB Smartphone,5.0
,2020/02/26,02 Dec 2019,5,by Daraz Customer,Vivo Y90 - 2GB/32GB Smartphone,5.0
,2020/02/26,22 Jan 2020,5,by Daraz Customer,OPPO A5 2020 - Smartphone - 6.5inch - 3GB RAM - 64GB ROM - 16MP Camera,5.0
this product is very good😍😍😍😍😍,2020/02/26,18 Nov 2019,5,by Daraz Customer,OPPO A1K - Smartphone - 6.1inch - 2GB RAM - 32GB ROM - 8MP Camera,5.0
Product paici but Warranty one year paini lekha ace for local saller warranty,2020/02/26,2  weeks ago,5,by Daraz Customer,OPPO A5 2020 - Smartphone - 6.5inch - 3GB RAM - 64GB ROM - 16MP Camera,5.0
"Satisfied with the product, but delivery is a bit late.",2020/02/26,1  week ago,5,by Daraz Customer,OPPO A5 2020 - Smartphone - 6.5inch - 3GB RAM - 64GB ROM - 16MP Camera,5.0
,2020/02/26,1  week ago,5,by Daraz Customer,OPPO A5 2020 - Smartphone - 6.5inch - 3GB RAM - 64GB ROM - 16MP Camera,5.0
,2020/02/26,2  weeks ago,5,by Daraz Customer,OPPO A5 2020 - Smartphone - 6.5inch - 3GB RAM - 64GB ROM - 16MP Camera,5.0
