content,current_date,date,rating,reviewer_name,title,total_rating
"Thanks for nice product..
100% recommend, you can buy it without any confusion.",2020/02/26,13 Jan 2020,5,by Joty H.,UiiSii C100 In-ear Earphone with MIC - Black,4.8
this earphone is very much good.awesome sound quality with very much bit.Another matter is the price is also in budget.so like this .... anyone can buy it,2020/02/26,18 Dec 2019,5,by Daraz Customer,UiiSii C100 In-ear Earphone with MIC - Black,4.8
"Its amaizing product.
quality is too much good this price.
Thank you daraz.",2020/02/26,11 Nov 2019,5,by Daraz Customer,UiiSii C100 In-ear Earphone with MIC - Black,4.8
সাউন্ড কোয়ালিটি অনেক ভালো। বেস টা অনেক বেশি। ডেলিভারি সিস্টেম টা অনেক ভালো আমার পছন্দ হয়েছে। ধন্যবাদ দারাজ,2020/02/26,04 Jan 2020,5,by Daraz Customer,UiiSii C100 In-ear Earphone with MIC - Black,4.8
"packeting good.
bass price onujayi thik ache. music sunte kono problem hoy na.
And thanks for fast delivery. 2 din e cole asche!!!!!,ধন্যবাদ স্যার রিভিউ দেবার জন্য ",2020/02/26,15 Dec 2019,5,by Daraz Customer,UiiSii C100 In-ear Earphone with MIC - Black,4.8
Product is much better than price. I am really satisfied. Thank you daraz giving me a good product. ,2020/02/26,01 Dec 2019,5,Daraz Customer,UiiSii C100 In-ear Earphone with MIC - Black,4.8
Osadharon ekta product... 😊Very nice... Sound quality awesome... Satisfied with smile... Product got in 3 days. ,2020/02/26,13 Nov 2019,5,Md. F.,UiiSii C100 In-ear Earphone with MIC - Black,4.8
Really love it. Got as I ordered and on time. Sound quality is good. Recommended... ,2020/02/26,19 Dec 2019,5,Tahmid H.,UiiSii C100 In-ear Earphone with MIC - Black,4.8
This is the best budget earphone right now. UiiSi c100 gives premium sound quality without any doubt. I'm using three pieces of this earphone.Daraz mall delivers authentic products within 2 days. I wish UiiSii would bring a budget wireless headphone soon. Best of luck,2020/02/26,08 Jan 2020,5,Daraz Customer,UiiSii C100 In-ear Earphone with MIC - Black,4.8
love the product. Great Bass and the product is genuine. Delivery is fast. Definitely for someone who likes heavy Bass.,2020/02/26,23 Dec 2019,5,hussain,UiiSii C100 In-ear Earphone with MIC - Black,4.8
