content,current_date,date,rating,reviewer_name,title,total_rating
awesome product.....I love this phone very much....And I also happy with this.....Thank you daraz....,2020/02/25,05 Nov 2019,5,by Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
It's the 3rd Infinix phone purchased from daraz and as always a great deal. ☺☺ thank's to Infinix and Daraz both. I just loved this phone. 😍😍,2020/02/25,04 Nov 2019,5,by Shifat I.,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
It's my 2nd Hot 8 ordered on 10th November and received on 12th November. As always a great deal with Infinix and Daraz. Thanks a lot. Happy Shopping!! 😊😊,2020/02/25,15 Nov 2019,5,by Shifat I.,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
কোন কথা হবে না চোখ বুঝে ওটা দিতে হবে আমি দশের ভিতর বিশ দিলাম আপনারা কেউ মনে করলে কিনতে পারেন ।আমি সম্পূর্ণ ইনটেক পাইছি ধন্যবাদ দারাজ কে এবং ধন্যবাদ জানাই ইনফিনিক্স অফিশিয়াল স্টোর কে,2020/02/25,06 Nov 2019,5,by Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
হাতে পেলাম ভাল মন্দ এখনি বলতে চাচ্ছি না কয়েকদিন ইউজ করি,2020/02/25,03 Nov 2019,5,by Daraz Customer,Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera,4.9
"An almost perfect phone. Day long browsing, heavy battery capacity. Almost all work you can do. The beyond perfect is its amazing display resolution. Consider this phone if you're not a camera junkie. And the OS is Android One which is not superfast. Gonna buy next Infinix phone.",2020/02/25,29 Dec 2019,5,by mostafa F.,"Infinix Note 5 X604 - Smartphone - 6"" – 3GB RAM – 32GB ROM - 16MP + 12MP Camera - Milan Black",5.0
,2020/02/25,21 Jan 2020,5,by Daraz Customer,Infinix Hot S3X - Smartphone - 6.2  - 4GB RAM - 64GB ROM - 13MP Camera - Aqua Blue,5.0
"Very nice mobile, user friendly, good battery backup, camera good, missing some useful features such as double tap wake lock, ultra power mode, search with 3/5 digit number match.",2020/02/25,04 Mar 2019,5,by ahmed B.,"Infnix Note 5 X604 Smartphone - 6"" - 3GB RAM – 32GB ROM - 16MP + 12MP Camera – Ice Blue",4.5
,2020/02/25,17 Nov 2019,5,by Daraz Customer,"Infinix Smart 3 Plus X627 - Smartphone - 6.21"" - 2GB RAM - 32GB ROM - 13MP Camera - Mocha Brown",5.0
Awesome,2020/02/25,29 Oct 2019,5,by Daraz Customer,Infinix Hot S3X - Smartphone - 6.2  - 4GB RAM - 64GB ROM - 13MP Camera - Milan Black,5.0
wow amazing phone 8400 taka bdt...best of the phone 2018 but fingerprint aktu slow....ar 10000 hajar takar modda j fingerprint  to nai.... she is amazing look  soft phone halka phone ...sob kicui amer kaca valo lakca,2020/02/25,13 Dec 2018,5,by Daraz Customer,Infinix Smart 2 Pro X5514D - Smartphone 5.5  2GB RAM - 16GB ROM - 13MP + 2MP Camera - Sandstone Black,4.5
pixel problem mobile dise 3 ta ded pixel khozea peyesi,2020/02/25,24 Feb 2019,1,by tanvir,"Infnix Note 5 X604 Smartphone - 6"" - 3GB RAM – 32GB ROM - 16MP + 12MP Camera – Ice Blue",4.5
মোটামুটি ভালো গেমস খেলার জন্য ভালো নয়।হ্যাং ও স্লো করে।,2020/02/25,17 Feb 2019,3,by Abdullah N.,"Infnix Note 5 X604 Smartphone - 6"" - 3GB RAM – 32GB ROM - 16MP + 12MP Camera – Ice Blue",4.5
গ্রেট জব ইনফিনিক্স এত সুন্দর একটি ফোন অসাম ব্যাটারি ব্যাকআপ ক্যামেরা একটু লো কোয়ালিটি তবে চালিয়ে নেয়া যাবে ফোনটি অনেক সুন্দর যা বলার বাইরে ফোনটি রিভিউ দিব কি আর এক কথায় অসাধারণ,2020/02/25,24 Feb 2019,5,by Ripon I.,"Infnix Note 5 X604 Smartphone - 6"" - 3GB RAM – 32GB ROM - 16MP + 12MP Camera – Ice Blue",4.5
it is very good it was delivered in 20 hour also no lag you can play higher games face unlock is available .,2020/02/25,18 Dec 2018,5,by Saad K.,"Infnix Note 5 X604 Smartphone - 6"" - 3GB RAM – 32GB ROM - 16MP + 12MP Camera – Ice Blue",4.5
"ami bes kisu din thake set a use korsi.ak kothai bolte gale best.outlook,camera,flash light,net speed,set speed,charge all everything is supppppppper.",2020/02/25,22 Nov 2018,5,by Farid U.,Infinix Smart 2 Pro X5514D - Smartphone 5.5  2GB RAM - 16GB ROM - 13MP + 2MP Camera - Sandstone Black,4.5
Very good product...best in class,2020/02/25,03 Oct 2018,4,by dr R.,Infinix Smart 2 Pro X5514D - Smartphone 5.5  2GB RAM - 16GB ROM - 13MP + 2MP Camera - Sandstone Black,4.5
Best in this price point.,2020/02/25,22 Oct 2018,5,by Daraz Customer,Infinix Smart 2 Pro X5514D - Smartphone 5.5  2GB RAM - 16GB ROM - 13MP + 2MP Camera - Sandstone Black,4.5
Best phone in this price range. little bit slow in touch response but all other is wonderful service.,2020/02/25,26 Nov 2018,5,by Mezanul H.,Infinix Smart 2 Pro X5514D - Smartphone 5.5  2GB RAM - 16GB ROM - 13MP + 2MP Camera - Sandstone Black,4.5
,2020/02/25,21 Nov 2019,5,by Daraz Customer,"Infinix Smart 3 Plus X627 - Smartphone - 6.21"" - 2GB RAM - 32GB ROM - 13MP Camera - Midnight Black",5.0
,2020/02/25,29 Oct 2019,5,by Daraz Customer,"Infinix Smart 3 Plus X627 - Smartphone - 6.21"" - 2GB RAM - 32GB ROM - 13MP Camera - Midnight Black",5.0
,2020/02/25,15 Dec 2019,5,by Daraz Customer,"Infinix Smart 3 Plus X627 - Smartphone - 6.21"" - 2GB RAM - 32GB ROM - 13MP Camera - Midnight Black",5.0
