content,current_date,date,rating,reviewer_name,title,total_rating
Good product. Very smooth performance. Pure view display really good on Nokia. And stock Android experience is awesome.,2020/02/25,22 Jan 2020,4,by Daraz Customer,Nokia 6.2 Smartphone - 6.3 inches - 4RAM - 64GB ROM - 16MP Camera - Ceramic Black,4.9
Fast delivery and genuine product.,2020/02/25,17 Nov 2019,5,by Daraz Customer,Nokia 6.2 Smartphone - 6.3 inches - 4RAM - 64GB ROM - 16MP Camera - Ceramic Black,4.9
good performance this phone,2020/02/25,02 Jan 2020,5,by Daraz Customer,Nokia 6.2 Smartphone - 6.3 inches - 4RAM - 64GB ROM - 16MP Camera - Ceramic Black,4.9
,2020/02/25,5  days ago,5,by Daraz Customer,Nokia 6.2 Smartphone - 6.3 inches - 4RAM - 64GB ROM - 16MP Camera - Ceramic Black,4.9
,2020/02/25,5  days ago,5,by Daraz Customer,Nokia 6.2 Smartphone - 6.3 inches - 4RAM - 64GB ROM - 16MP Camera - Ceramic Black,4.9
very nice. Thanks to daraz.com.bd,2020/02/25,09 Sep 2019,5,by Daraz Customer,"Nokia 3.2 - Smartphone - 6.26"" - 3GB RAM - 32GB ROM - 13MP Camera",4.9
প্রথমেই ধন্যবাদ জানাই সাদা কালার টাই দেওয়ার জন্য । 😍দ্বিতীয়ত আমি অবাক হয়ে গেলাম ঢাকার বাইরে মাত্র ৪০ ঘন্টায় ডেলীভারি। 😍 সেজন্য সুযোগ থাকলে ষ্টার আরো বাড়িয়ে দিতাম 😊 12 তারিখ 01AM এ অর্ডার করে 13 তারিখ 7PM এই আমার হাতে। আমি হতবাক 😍😍😍,2020/02/25,15 Dec 2019,5,by Diip,Nokia 2720 Flip,4.8
,2020/02/25,12 Sep 2019,5,by MD S.,"Nokia 3.2 - Smartphone - 6.26"" - 3GB RAM - 32GB ROM - 13MP Camera",4.9
ভয়েচ কোয়ালিটি  ভাল লাগেনি তাছাড়া সব ঠিক আছে,2020/02/25,11 Sep 2019,4,by Daraz Customer,"Nokia 3.2 - Smartphone - 6.26"" - 3GB RAM - 32GB ROM - 13MP Camera",4.9
ধন্যবাদ দারাজ। মাত্র দুই দিনের ভিতর অথেনটিক প্রোডাক্ট ডেলিভারি দেওয়ার জন্য এবং সুন্দর একটি অফার দেয়ার জন্য। ডাবল টাকা ভাউচার এবং বিকাশ ক্যাশব্যাক মিলিয়ে আমার দাম পড়েছে মাত্র ৮০০০টাকা।,2020/02/25,18 Sep 2019,5,by Daraz Customer,"Nokia 3.2 - Smartphone - 6.26"" - 3GB RAM - 32GB ROM - 13MP Camera",4.9
থ্যাংক ইউ নোকিয়া কোম্পানি সেলার থ্যাংক ইউ দারাউস এত সুন্দর একটা প্রোডাক্ট দেওয়ার জন্য আশা করি নকিয়া 4.2 টা খুব দ্রুত এভেলেবেল করা হবে নকিয়া 4.2 মার্কেটে অনেক চাহিদা আছে আমি আশা করি এই প্রোডাক্টটা এভেলেবেল করা হোক খুব দ্রুত,2020/02/25,27 Sep 2019,5,by Daraz Customer,"Nokia 3.2 - Smartphone - 6.26"" - 3GB RAM - 32GB ROM - 13MP Camera",4.9
অরিজিনাল নোকিয়া তাও আবার ১৫০০ টাকা কমে নিলাম দারজ থেকে জেমন ওয়াডার করছিলাম তেমনটাই পেলাম পতিবা নেই আমি মাএ ২ দিনে ডেলিভারি পেলাম সাদা কালার আমার পেবারিট কালার টাই দারাজ আমাকে দিয়ে ছে ধন্যবাদ দারাজ কে এত সুনদর পোডাকট দেওয়ার জন্য,2020/02/25,19 Dec 2019,5,by Daraz Customer,Nokia 2720 Flip,4.8
"awesome...!! White colour
WiFi, 4G available this phone.
this is original Nokia. I like that. I'm happy & satisfied. delivery quick.",2020/02/25,29 Dec 2019,5,by Daraz Customer,Nokia 2720 Flip,4.8
মোবাইল টা দেখতে অনেক সুন্দর। যে রং পছন্দ করেছি সেটাই দেওয়া হয়েছে। তবে মোবাইল টা অনেক ধীরগতি সম্পন্ন। কিছুক্ষণ চালানোর পর মোবাইলের উপর বিরক্ত আসতে পারে। যে কিনবেন ভেবে চিন্তে কিনবেন। মোবাইল টা ভিয়েতনাম এর তৈরি কিন্তু চার্জার আর ব্যাটারি টা চীনের তৈরি।,2020/02/25,03 Jan 2020,4,by Daraz Customer,Nokia 2720 Flip,4.8
I like the color and the phone is very good,2020/02/25,18 Dec 2019,5,by Daraz Customer,Nokia 2720 Flip,4.8
"ডেলিভারি অনেক লেট, ৪ দিনের মাথায় পাইছি কিন্তু Product 100% Good . Nokia বলে কথা, খারাপ হবার কথাও না , বাকিটা use এর উপর নির্ভর করতেছে।",2020/02/25,13 Nov 2019,5,by Daraz Customer,Nokia 4.2 Smart Phone 3/32 GB - Black,5.0
,2020/02/25,21 Jan 2020,5,by Daraz Customer,Nokia 4.2 Smart Phone 3/32 GB - Black,5.0
,2020/02/25,18 Nov 2019,5,by Daraz Customer,Nokia 4.2 Smart Phone 3/32 GB - Black,5.0
