content,current_date,date,rating,reviewer_name,title,total_rating
,2020/02/25,1  week ago,5,by Daraz Customer,Samsung Galaxy A30s -Android 9.0 (Pie) - 4GB/64GB - Super AMOLED Display - 4000mAh Fast Charging,5.0
,2020/02/25,21 Jan 2020,5,by Daraz Customer,Samsung Galaxy A30s -Android 9.0 (Pie) - 4GB/64GB - Super AMOLED Display - 4000mAh Fast Charging,5.0
,2020/02/25,2  days ago,5,by Daraz Customer,Samsung Galaxy A51 - Android 10; One UI - 6GB/128GB - Quad Camera - 48MP Camera,5.0
সতি দারাজ থেকে মোবাইল ফোন কিনার মজাটাই আলাদা জেমনটা দেকলাম তেমনটাই পেলাম ধন্যবাদ দারাজ কে,2020/02/25,2  weeks ago,5,by Daraz Customer,Samsung Metro 350 Feature Phone,5.0
"Full Intact with Warranty, Good Product, Moreover Delivery was excellent , it's only 2 days",2020/02/25,1  week ago,5,by Daraz Customer,Samsung Galaxy A30s -Android 9.0 (Pie) - 4GB/128GB - Super AMOLED Display - 4000mAh Fast Charging,5.0
,2020/02/25,2  weeks ago,5,by Daraz Customer,Samsung Metro 350 Feature Phone,5.0
,2020/02/25,4  days ago,5,by Daraz Customer,Samsung A20s - Android 9.0 (Pie); One UI - 3GB/32GB - Triple Camera - 4000mah Battery,5.0
,2020/02/25,2  weeks ago,5,by Daraz Customer,Samsung A20s - Android 9.0 (Pie); One UI - 3GB/32GB - Triple Camera - 4000mah Battery,5.0
,2020/02/25,3  weeks ago,5,by Daraz Customer,Samsung A20s - Android 9.0 (Pie); One UI - 3GB/32GB - Triple Camera - 4000mah Battery,5.0
Good phone in this price range. Fully satisfied. But one things before 4 days of this when i browsing YouTube its screen becomes totally blind. Before 30 minute i pres power and volume up button at the same time the phone get reboot... But still now there's no problem issue.,2020/02/25,16 Sep 2019,5,by Daraz Customer,Galaxy M10 Smartphone 6.22  - 2GB RAM - 16GB ROM - 13MP,5.0
good products original Mobile thanks daraz,2020/02/25,1  week ago,5,by Daraz Customer,Samsung A20s - Android 9.0 (Pie); One UI - 4GB/64GB - Triple Camera - 4000mah Battery,5.0
i bought this phone. but after using one day. it started disturbing. automatically this phone get off. now what will i do. i hsve bought another mi a1 from daraz. that performed really well. i want to change this phone. please help,2020/02/25,26 Feb 2019,1,by Abid N.,Samsung Galaxy J7 Duo SM-J720F - Smartphone - 4GB RAM - 32GB ROM - 13MP Camera - Blue,4.3
Good & genuine Product. delivered within short time.,2020/02/25,14 Nov 2019,5,by Daraz Customer,Galaxy M10 Smartphone 6.22  - 2GB RAM - 16GB ROM - 13MP,5.0
intact and original mobile....,2020/02/25,10 Sep 2019,5,by Alamche N.,Galaxy M10 Smartphone 6.22  - 2GB RAM - 16GB ROM - 13MP,5.0
Very good quality products,2020/02/25,10 Sep 2019,5,by Daraz Customer,Galaxy M10 Smartphone 6.22  - 2GB RAM - 16GB ROM - 13MP,5.0
Good Product,2020/02/25,14 Nov 2019,5,by Daraz Customer,Galaxy M10 Smartphone 6.22  - 2GB RAM - 16GB ROM - 13MP,5.0
,2020/02/25,3  weeks ago,5,by Daraz Customer,Samsung A20s - Android 9.0 (Pie); One UI - 4GB/64GB - Triple Camera - 4000mah Battery,5.0
