content,current_date,date,rating,reviewer_name,title,total_rating
good phone,2020/02/25,25 Nov 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
"Fast shipping . Good packaging. Original product. Fully satisfied.

Highly recommended!",2020/02/25,21 Nov 2019,5,by Tanvir A.,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,29 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,20 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
,2020/02/25,19 Nov 2019,5,Daraz Customer,Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera,5.0
Received in good condition. Till now all okay. Official Xiaomi product.,2020/02/25,21 Oct 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
This is too good 🙂,2020/02/25,07 Dec 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
,2020/02/25,05 Dec 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
,2020/02/25,21 Nov 2019,5,by Daraz Customer,Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera,5.0
Received this phone just within 2 days with 1300 tk discount. Thanks daraz for providing that.,2020/02/25,29 Oct 2019,5,by Daraz Customer,Xiaomi Redmi 7 - 6.26  - 3GB RAM - 32GB ROM - 12MP + 2MP Rear Dual Camera,5.0
super fast delivery. thanks daraz,2020/02/25,29 Dec 2019,5,by Daraz Customer,Xiaomi Redmi 7 - 6.26  - 3GB RAM - 32GB ROM - 12MP + 2MP Rear Dual Camera,5.0
Good phone,2020/02/25,17 Nov 2019,5,by Daraz Customer,Xiaomi Redmi 7 - 6.26  - 3GB RAM - 32GB ROM - 12MP + 2MP Rear Dual Camera,5.0
good phone,2020/02/25,06 Nov 2019,5,by Daraz Customer,Xiaomi Redmi 7 - 6.26  - 3GB RAM - 32GB ROM - 12MP + 2MP Rear Dual Camera,5.0
Good phone,2020/02/25,03 Nov 2019,5,by Daraz Customer,Xiaomi Redmi 7 - 6.26  - 3GB RAM - 32GB ROM - 12MP + 2MP Rear Dual Camera,5.0
"This is a nice looking set. Came the very next day I ordered. Haven't checked yet, but it is made in India. Box includes a free back cover. There is no warranty card or anything included, contacted Daraz and they said the invoice that we get in our emails will do. Hope I don't fall in problems with this... May update only if there is any problem with the set...",2020/02/25,14 Jan 2020,5,by Imtiaz K.,Xiaomi Redmi Note 7 Pro - 6.3inches - 6GB RAM - 64GB ROM - 48MP + 5MP AI Dual Rear Camera,4.9
"Well Packed, Quick Delivered, Received as I Ordered. A little bit disappointed due to the product is Made in India and there was no Invoice.",2020/02/25,11 Nov 2019,5,by Mohammad H.,Xiaomi Redmi Note 7 Pro - 6.3inches - 6GB RAM - 64GB ROM - 48MP + 5MP AI Dual Rear Camera,4.9
"I didn't receive the product. Daraz played with me like a snake. I have lots of proof for that. And daraz showed my order is delivered in system to kill the issue. Instead of this if they tell me the truth for their mistake that should be good.

I bought Xiomi Note8 pro 6gb128gb rom from market. I am very much happy with that phone.",2020/02/25,06 Dec 2019,5,by Daraz Customer,Xiaomi Redmi Note 7 Pro - 6.3inches - 6GB RAM - 64GB ROM - 48MP + 5MP AI Dual Rear Camera,4.9
"finally I got it
ok no problem
but I confused now",2020/02/25,05 Dec 2019,5,by Daraz Customer,Xiaomi Redmi Note 7 Pro - 6.3inches - 6GB RAM - 64GB ROM - 48MP + 5MP AI Dual Rear Camera,4.9
