rating,review,title
0,,Samsung Galaxy A51 - Android 10; One UI - 6GB/128GB - Quad Camera - 48MP Camera
4.3,"i bought this phone. but after using one day. it started disturbing. automatically this phone get off. now what will i do. i hsve bought another mi a1 from daraz. that performed really well. i want to change this phone. please help,The service was satisfactory. Now, looking for this product available at Alibaba - Echsio Fantastic Brass Cubic Zirconia Bridal Jewelry Set For Wedding Turkish Gold Plated Jewelry Set For Women CN145.,Thanks Daraz. FAST DELIVERY & Original Product",Samsung Galaxy J7 Duo SM-J720F - Smartphone - 4GB RAM - 32GB ROM - 13MP Camera - Blue
5.0,good products original Mobile thanks daraz,Samsung A20s - Android 9.0 (Pie); One UI - 4GB/64GB - Triple Camera - 4000mah Battery
5.0,it's a great phone to use than other feature phone.,Samsung Guru Music 2 Feature Phone - White
0,,Samsung Galaxy Note 10+ Smartphone - 6.8  - 12GB RAM - 256GB ROM - 16MP Camera
5.0,,Samsung A20s - Android 9.0 (Pie); One UI - 3GB/32GB - Triple Camera - 4000mah Battery
0,,Samsung Galaxy S10
0,,Samsung Galaxy S20 Ultra
4.8,"youtu.be/54N2yv-Jy3g
unboxing video","Samsung Galaxy M30s - 6GB/128GB - Super AMOLED FHD - 6000mAh Fast Charging - Triple Camera 48MP, 8MP, 5MP"
5.0,সতি দারাজ থেকে মোবাইল ফোন কিনার মজাটাই আলাদা জেমনটা দেকলাম তেমনটাই পেলাম ধন্যবাদ দারাজ কে,Samsung Metro 350 Feature Phone
5.0,"An almost perfect phone. Day long browsing, heavy battery capacity. Almost all work you can do. The beyond perfect is its amazing display resolution. Consider this phone if you're not a camera junkie. And the OS is Android One which is not superfast. Gonna buy next Infinix phone.","Infinix Note 5 X604 - Smartphone - 6"" – 3GB RAM – 32GB ROM - 16MP + 12MP Camera - Milan Black"
4.6,"Amazing phone. Never used an Alcatel branded phone so quite happy with this one. Specs are amazing. Camera, sound quality, ease of use, everything is great. Only wish the in built memory was more. Delivery of product was late. Had to call daraz constantly to find out status of delivery. Eventually got it 3 days after cause weekend was there.,ভাল লাগছে, কিন্তু আফসোস এক টাকার অফার এ পাই নাই।
দাম দশ এর মধ্যে থাকলে ভাল চলবে মোবাইল টা।,The product came in due time. The phone is really nice, camera quality is very good and there are many advanced features like slow mo, time lapse. I wish the earphone was of a better quality. Otherwise the phone is really good. I am very happy with it.,This phone was really awesome. slim and very light weight. display is ok and overall it's truly a budget killer. about camera I think it will meet your expectations. comes up with a silicon back cover, warranty card, a useless screen protector and a black head phone. thanks Daraz for bringing such a lovely product and really greatful for a really fast home delivery.",Alcatel 3 Smartphone 5.9  - 3GB RAM - 32GB ROM
5.0,Awesome,Infinix Hot S3X - Smartphone - 6.2  - 4GB RAM - 64GB ROM - 13MP Camera - Milan Black
4.5,"Very nice mobile, user friendly, good battery backup, camera good, missing some useful features such as double tap wake lock, ultra power mode, search with 3/5 digit number match.,pixel problem mobile dise 3 ta ded pixel khozea peyesi,মোটামুটি ভালো গেমস খেলার জন্য ভালো নয়।হ্যাং ও স্লো করে।,গ্রেট জব ইনফিনিক্স এত সুন্দর একটি ফোন অসাম ব্যাটারি ব্যাকআপ ক্যামেরা একটু লো কোয়ালিটি তবে চালিয়ে নেয়া যাবে ফোনটি অনেক সুন্দর যা বলার বাইরে ফোনটি রিভিউ দিব কি আর এক কথায় অসাধারণ,it is very good it was delivered in 20 hour also no lag you can play higher games face unlock is available .","Infnix Note 5 X604 Smartphone - 6"" - 3GB RAM – 32GB ROM - 16MP + 12MP Camera – Ice Blue"
