content,current_date,date,rating,reviewer_name,title,total_rating
ছোট রুমাল ভেবেই অডার করেছিলাম কজ এতো কম দাম এ কেও ৮টা টাওয়াল দিবে না যাই হোও অনেক ভালো রুমাল গুলা ☺,2020/02/27,04 Dec 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
খুব বেশি একটা বড় সাইজ না।তাই বুঝে oader korben.bt kapor ta valo..,2020/02/27,4  weeks ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
এটা পারফেক্ট ছিলো ,2020/02/27,18 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
u illiterate people -_- eita diye ki kore jano ? bacha der pasa mocha hoi -_- size 9×9 inch. eita k towel kno bolen ? that 3 star is for the quality. quality is good but useless product  -_- fools ,2020/02/27,07 Jul 2019,3,S E.,Gerber Baby Towels Set - 8 Pieces,3.9
"I have received it,
But I am not happy due to picture and physical product are not same. I want to return it
",2020/02/27,31 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
"Quality Was Good.
ছোট রুমাল টাইপ তোয়ালে তাই যারা কিনবেন বুঝে শুনে কিনবেন।
৬""/৬"" সাইজ.",2020/02/27,27 Aug 2019,4,Kamrul I.,Gerber Baby Towels Set - 8 Pieces,3.9
vebechilam towel gulo boro hobe....kintu egula onek choto....not satisfied,2020/02/27,22 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
"এতো পকেট রুমাল, টাওয়েল হলো কি ভাবে বাচ্চার পটি পরিষ্কারেও কাজে লাগবে না।",2020/02/27,02 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
nice but small.this is not towels .this is hondkerchief.but I like it.,2020/02/27,07 Sep 2019,5,Amena J.,Gerber Baby Towels Set - 8 Pieces,3.9
খুবই ফালতু প্রোডাক্ট। এত ছোট সাইজের রুমাল আমি কখনো দেখিনি। টাকা নষ্ট।,2020/02/27,1  day ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
খুবই বাজে প্রডাক্ট রাস্তঘাটে এইসব জিনিস 50-60 টাকায় পাওয়া যায় ,2020/02/27,04 Oct 2019,1,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
Its It's really so cute... Really good for new born babies...,2020/02/27,24 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
"ai product ta amr akdom e pochondo hoy ni,, ai ta holo choto rumal er size,, rumal  ar theke k choto,, akto valo Quality r boro hole valo lagto,,, 😔😔",2020/02/27,09 Dec 2018,2,Riddhi H.,Gerber Baby Towels Set - 8 Pieces,3.9
awesome seller and highly recommend. thanks ,2020/02/27,24 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
good indeed,2020/02/27,10 Dec 2018,5,Nusrat M.,Gerber Baby Towels Set - 8 Pieces,3.9
"Soft, good material. But looks like bigger in the image. Acually very small in size. Could be a bit bigger ..",2020/02/27,24 Oct 2018,3,sabiha H.,Gerber Baby Towels Set - 8 Pieces,3.9
Very good little washcloths.. soft and good quality. But not exactly like the picture. That's why gave 4 star. ,2020/02/27,14 Oct 2018,4,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
"ছবির  সাথে  মিল নেই,  এগুলো   ক্ষুদ্র  রুমাল। ",2020/02/27,1  day ago,1,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
Dam akane 140 tk but 200 tk dithe holo keno?,2020/02/27,17 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
products valo soft but size ta besie choto,2020/02/27,18 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
pic e towels gula aktu medium mne hoyeche ,2020/02/27,20 Sep 2019,3,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
এগুলো কোনো কাজেই আসে না শুধু শুধু অপচয়। ,2020/02/27,18 Sep 2019,1,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
অনেক ছোট কাপর রুমালের থেকেও ছোট🥵🥵🥵,2020/02/27,20 May 2019,5,Md R.,Gerber Baby Towels Set - 8 Pieces,3.9
Atooooo boro.. bujlay Libyan na....,2020/02/27,2  weeks ago,1,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
great service. Highly recommended ,2020/02/27,18 Nov 2019,5,Tamim I.,Gerber Baby Towels Set - 8 Pieces,3.9
That was too small than thought.,2020/02/27,04 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
very small size but cute..,2020/02/27,21 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
ছোট হবে জেনেই নিয়েছিলাম বাট এতো ছোট?  সাইজ দেখে খালি হাসছি। তবে সফট আছে।,2020/02/27,14 Oct 2018,3,Tasin K.,Gerber Baby Towels Set - 8 Pieces,3.9
"good dam hishab a vlo
",2020/02/27,04 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
এটা একটা ফালতু জিনিস।,2020/02/27,27 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
খুব ভালো ও আরামদায়ক ,2020/02/27,24 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
eto cheap kivabe???,2020/02/27,16 Dec 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
kom dame valo jinis,2020/02/27,18 Aug 2019,5,md A.,Gerber Baby Towels Set - 8 Pieces,3.9
"unexpected small
",2020/02/27,26 Dec 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
very small size ,2020/02/27,12 Sep 2019,2,Arman K.,Gerber Baby Towels Set - 8 Pieces,3.9
"Size, too small",2020/02/27,06 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
Good products ,2020/02/27,1  week ago,5,Aminul I.,Gerber Baby Towels Set - 8 Pieces,3.9
good product ,2020/02/27,4  weeks ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
good product ,2020/02/27,22 Jan 2020,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
good product ,2020/02/27,17 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
Too small to use. Fabric was very soft but problem  was with the size.,2020/02/27,14 Oct 2018,2,shajjad a.,Gerber Baby Towels Set - 8 Pieces,3.9
reasonably priced and good quality ,2020/02/27,06 Feb 2019,5,Marium H.,Gerber Baby Towels Set - 8 Pieces,3.9
Not bad! Price could be lesser,2020/02/27,26 Feb 2019,4,Mahbub R.,Gerber Baby Towels Set - 8 Pieces,3.9
valo. tobe price arektu kom hole adjust hoto,2020/02/27,04 Dec 2018,4,Kamrul H.,Gerber Baby Towels Set - 8 Pieces,3.9
quality is good  and soft.,2020/02/27,03 Feb 2019,5,Md. H.,Gerber Baby Towels Set - 8 Pieces,3.9
pura e faltu .....,2020/02/27,10 Jan 2019,1,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
Valoi legeche..Satisfied.,2020/02/27,24 Nov 2018,4,পলাশ শ.,Gerber Baby Towels Set - 8 Pieces,3.9
"Product quality not 
Good",2020/02/27,25 Oct 2018,2,Shalina A.,Gerber Baby Towels Set - 8 Pieces,3.9
Its ok,2020/02/27,25 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
"good
",2020/02/27,1  week ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
"Good
",2020/02/27,3  weeks ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
GOOD ,2020/02/27,27 Dec 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
nice,2020/02/27,13 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,1  day ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,3  weeks ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,3  weeks ago,5,raj_mad N.,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,3  weeks ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,3  weeks ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,4  weeks ago,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,19 Jan 2020,4,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,28 Dec 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,22 Dec 2019,3,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,14 Dec 2019,4,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,13 Dec 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,03 Dec 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,03 Dec 2019,4,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,24 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,22 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,22 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,20 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,16 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,16 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,12 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,11 Nov 2019,1,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,11 Nov 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,15 Oct 2019,3,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,13 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,13 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,11 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,01 Oct 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,27 Sep 2019,5,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
,2020/02/27,24 Sep 2019,3,Daraz Customer,Gerber Baby Towels Set - 8 Pieces,3.9
